,영화댓글
0,이걸 왜 지금 봤을까..
1,보는 내내 눈이 즐거웠던 교훈 주는 만화영화
2,진짜 화려하고 쭉 몰입해서 본영화
3,애니메이션이라는 틀을 깨버리는 스탠 리의 자식들
4,"정말 재밌다는 소문만 듣다가 이제서야 봄. 만화적 연출을 위한 저 프레임 연출은 호불호가 좀 갈린부분 아닐까, 나또한 저 부분이 그렇게 와닿게 만화적이게 보이게 했는지는 모르겠다 그냥 부드럽게 보는게 더 보기 편하지 않았을까, 그 외에 만화적 표현들은 연출적으로 아주 훌륭했다. BGM : 중간 중간 깔리는 음악들은 아주 훌륭했다. 연출과 아주 찰떡궁합. 스토리는 좀 진부했다 아주 무난하고 평범한 히어로물 주인공의 위기와 성장 살짝 개연성이 아쉬운 부분이 있었으나 감안하고 보기엔 마무리 포장까지 완성도가 높았다. 개인적 총평은. 아주 재밌었던 영화라기 보단 아주 잘 만든 영화에 가까웠다."
5,소니 최고의 애니메이션
6,최고다.
7,"최고의 스파이더맨 영화, 그냥 믿는거야!"
8,스파이더맨 영화중 가히 최고
9,완벽하다 너무 재밌다 진짜 잘 만든 영화
10,
11,극장에서 봤을때의 감동을 아직도 잊지못함 개인적으로 재개봉했으면 좋겠다
12,"영상미, 음악, 스토리 뭐하나 빠지는게 없네"
13,곤니찌와에서 ㅡ ㅡ ... 재밌다가 식었음 ㅠ
14,이게 예술이 아니면 뭔가요?
15,와 ㄹㅇ 내 인생 영화에 들어갈정도로 재밌음. 특유의 BOOM이라던가 만화같은 연출이랑 팝송같은 음악이 너무 좋았음
16,명대사:헤이
17,진짜 고퀄리티다....
18,스파이더맨 판권을 소니가 가져야 하는 이유
19,갠적으로 영화 2번이상 보고싶은거 없었는데 생겼다. 힘든요즘 힘내게 해준영화 왜 이제봤지?
20,영화도 재밌는데 연출이 일단 개신선하고 무엇보다 ost가 진짜 죽인다 ㅋㅋㅋㅋ
21,영상미 색감 액션 정말 삼박자를 다갖춘 영화에요ㅜㅜㅜ 다채로운 색의 조합이 눈을 즐겁게 만들고 화려한액션은 정말 말할것도 없네요.... 극장에서 못본게 아쉽네요 정말 재밌게 봤습니다 !!
22,이게 진짜 현대예술이지
23,스파이더맨 작품들 중에 최고.
24,스파이더맨 뉴 유니버스.
25,영화의 색감이 너무 좋다 눈이 즐거운 영화!
26,
27,"애니메이션 자체로도 훌륭하지만, 전달하려는 메세지와 전달하는 방식도 매우 뛰어나다."
28,마블에서 만든 실사판보다 더 괜찮음 스파이더맨 특유의 설정때문에 애니메이션이 더 잘 맞는듯
29,존잼 3번이나 봄 ♡♡♡♡
30,꼭보셈 어벤져스보다 재밌음
31,진짜 잘 만들었음. 영상미가 좋음.
32,내가 스파이더맨 좋아하고 좀 안다 하시는분들은 더 재밋게 볼거같아요ㅋㅋㅋ 너무 재밌었음
33,생각한거 보대는 재밌다킬링타임용으로는 훌륭함
34,전반적으로 좋으나 후반부가 너무 일본스러운 아기자기한 판타지 세계가 나와 고개를 돌리게 된다.
35,득특하고 창의적인 완벽한 스파이더맨 영화!
36,
37,개인적으루 ost ㄹㅇ 미쳤음. 넘 좋당.
38,그냥 미쳤음 모든게 새롭다
39,애니메이션으로는 볼만 했음. 다만 실사 유니버스와는 별도로 계속 나왔으면 한다.
40,"스파이더맨으로 더 이상 뽑아 낼게 있나 싶었는데, 깜놀했음ㅎ 진짜 잘 만들었다. 신선해~~!"
41,풀뿌리 영웅주의에 대한 감각적인 해설.
42,경이로운 소문 오프닝 영상보다 자꾸 스파이더맨:뉴유니버스가 떠올라 다시 봤더니역시는 역시!!!
43,진짜 그냥 완벽하다 ㅠ ㅅ ㅠ
44,지린다...역대 스파이더맨중 가장재밌었다
45,스뽜이더맨~ 쓰뽜이더맨~
46,요즘 괜찮은영화 못만들고있는것같던데 드디어 걸작하나 만들어준 소니. 내용은 평범하지만 작화가 대단하다
47,
48,메세지나 영화적 완성도는 물론이고 ost만으로도 일단 반은 먹고들어간다.
49,"이런 애니매이션은 처음이다. 내용, 색채, 스타일, 음악 그리고 스피디하고 통통 튀는 전개지루할 틈이 없다. 누구나 영웅이 될 수 있는 꿈을 꿀 수 있는 영화."
