국가명,eng_code,발생률,인구수,확진자_합계,백신접종,접종률(인구),발생률_순위,접종률_순위,확진자비율_전체인구,1차접종,2차접종,위중증,치명(%),완치(%),확진자1일,사망자합계,사망자1일,완치합계,완치1일,접종비율(일간)
미국,U.S.,129632,331002651,42908619,385586020.0,60.2,13.0,46.0,0.12963225179728244,63.8,54.6,"24327
-523",1.6,75.8,41814.0,691992,430.0,32508846.0,25620.0,763444.0
인도,India,24277,1380004385,33483170,808389300.0,29.6,101.0,99.0,0.02426308956982046,43.7,14.5,8944,1.3,97.7,32085.0,445248,349.0,32715105.0,43938.0,9236028.0
브라질,Brazil,99924,212559417,21239783,222322660.0,53.9,27.0,62.0,0.09992398031464303,69.4,37.8,8318,2.8,95.5,9458.0,590786,239.0,20280294.0,,1721039.0
영국,U.K.,109444,67886011,7429746,93002090.0,69.6,21.0,25.0,0.10944443325739084,72.7,66.5,1020,1.8,80.5,29007.0,135203,56.0,5981684.0,22993.0,83947.0
러시아,Russia,49986,145934462,7294672,87810616.0,29.9,77.0,97.0,0.04998594506073555,31.9,27.6,2300,2.7,89.3,19744.0,198996,778.0,6510674.0,11992.0,354749.0
프랑스,France,106557,65273511,6955333,92262410.0,71.2,23.0,22.0,0.10655674703939244,76.7,72.7,"1832
-168",1.7,95.6,5814.0,116030,28.0,6649678.0,23192.0,242012.0
터키,Turkey,81187,84339067,6847259,105114640.0,63.2,45.0,41.0,0.0811872746944189,63.3,50.5,633,0.9,92.5,26398.0,61574,213.0,6337070.0,27160.0,472820.0
이란,Iran,64794,83992949,5442232,42003864.0,25.2,62.0,107.0,0.06479391502255744,34.1,16.6,"6707
-58",2.2,88.1,17397.0,117526,344.0,4792117.0,27119.0,1114116.0
아르헨티나,Argentina,115923,45195774,5239232,49017570.0,54.5,16.0,61.0,0.11592305068168542,64.5,44.3,"1496
-20",2.2,97.3,622.0,114428,61.0,5096283.0,2932.0,290888.0
콜롬비아,Colombia,97107,50882891,4941064,38331644.0,38.0,30.0,80.0,0.09710658932488722,49.3,31.7,542,2.5,96.7,1813.0,125895,35.0,4779552.0,1756.0,163255.0
스페인,Spain,105434,46754778,4929546,69094664.0,74.3,24.0,18.0,0.10543405852552652,80.4,77.0,1028,1.7,94.0,,85783,,4633527.0,,140084.0
이탈리아,Italy,76678,60461826,4636111,82377670.0,68.2,49.0,29.0,0.07667831600057862,73.3,67.9,"530
+11",2.8,94.7,3836.0,130310,26.0,4392265.0,3314.0,219232.0
인도네시아,Indonesia,15328,273523615,4192695,123454770.0,23.1,109.0,111.0,0.01532845710597968,29.4,16.8,,3.4,95.3,1932.0,140634,166.0,3996125.0,6799.0,1381673.0
독일,Germany,49569,83783942,4153067,105407390.0,63.4,79.0,40.0,0.049568770588521605,67.1,63.0,1217,2.3,93.9,6085.0,93592,34.0,3897800.0,15100.0,211307.0
멕시코,Mexico,27686,128932753,3569677,95271400.0,37.3,95.0,81.0,0.02768634747138301,48.5,32.5,4798,7.6,81.9,4983.0,271503,200.0,2924904.0,8633.0,507287.0
폴란드,Poland,76580,37846611,2898299,36947136.0,48.6,50.0,68.0,0.07658014610608067,51.7,50.7,"113
+2",2.6,91.8,364.0,75488,,2659912.0,429.0,30007.0
필리핀,Philippines,21770,109581078,2385616,40518844.0,18.9,105.0,121.0,0.021770327902778983,22.2,16.8,3170,1.5,91.0,18867.0,36934,146.0,2171832.0,20067.0,403560.0
우크라이나,Ukraine,53749,43733762,2350646,16558742.0,19.8,75.0,119.0,0.053749000600497164,27.4,12.3,177,2.3,94.9,2265.0,54919,44.0,2231417.0,565.0,149085.0
페루,Peru,65723,32971854,2167008,23158836.0,34.9,60.0,84.0,0.06572296480507284,42.0,27.9,"1043
+9",9.2,,589.0,199006,30.0,,,225799.0
말레이시아,Malaysia,64816,32365999,2097830,40375056.0,62.0,61.0,42.0,0.06481585814792863,67.3,56.2,"1191
+26",1.1,88.8,14954.0,23443,376.0,1863919.0,23469.0,269572.0
네덜란드,Netherlands,115918,17134872,1986241,23320388.0,67.7,17.0,30.0,0.11591805296240322,70.0,63.4,"208
+11",0.9,,1326.0,18123,9.0,,,40806.0
이라크,Iraq,49187,40222493,1978412,6672182.0,8.5,80.0,138.0,0.049186707546943945,10.7,6.3,"618
+2",1.1,94.4,3192.0,21869,47.0,1867818.0,4878.0,306900.0
체코,Czech Republic,157472,10708981,1686364,11712553.0,55.0,7.0,59.0,0.15747193874001644,56.7,55.3,"28
-1",1.8,97.9,182.0,30431,1.0,1650853.0,317.0,11672.0
일본,Japan,13283,126476461,1680028,149882540.0,59.4,112.0,50.0,0.01328332550354963,65.5,53.3,"1458
-42",1.0,94.5,2218.0,17250,23.0,1586847.0,10277.0,1108541.0
칠레,Chile,86196,19116201,1647746,30785686.0,80.6,38.0,9.0,0.08619631065816895,76.8,73.3,"434
-4",2.3,97.4,277.0,37367,8.0,1604353.0,419.0,83791.0
캐나다,Canada,41687,37742154,1573359,55060360.0,73.4,86.0,19.0,0.04168704838626858,75.4,69.6,638,1.7,95.3,2032.0,27395,11.0,1499483.0,997.0,94377.0
방글라데시,Bangladesh,9377,164689383,1544238,36832790.0,11.1,119.0,133.0,0.009376670018856042,13.3,8.8,1403,1.8,97.3,1555.0,27251,26.0,1503106.0,1565.0,363460.0
태국,Thailand,21335,69799978,1489186,44485656.0,31.9,106.0,92.5,0.02133504970445693,40.8,20.5,4387,1.0,90.1,12709.0,15469,106.0,1341144.0,11125.0,632170.0
이스라엘,Israel,142297,8655535,1231660,14732087.0,81.4,11.0,8.0,0.1422973854302478,67.0,61.6,"714
-12",0.6,93.2,9947.0,7541,30.0,1147578.0,17185.0,44039.0
파키스탄,Pakistan,5550,220892340,1226008,72986510.0,17.8,130.0,123.0,0.005550251312471949,26.6,11.7,"4840
-124",2.2,92.6,2167.0,27246,40.0,1135038.0,2312.0,862739.0
벨기에,Belgium,105251,11589623,1219814,16442235.0,71.8,25.0,21.0,0.10525053317092369,74.3,72.4,218,2.1,93.0,,25497,,1133872.0,,12861.0
루마니아,Romania,59885,19237691,1152052,9940596.0,25.6,67.0,105.0,0.059885149418399536,27.6,27.0,"952
+103",3.1,93.7,3342.0,35592,78.0,1079814.0,406.0,10084.0
스웨덴,Sweden,113373,10099265,1144982,13403076.0,64.9,18.0,35.0,0.11337280485263036,68.5,61.3,43,1.3,,,14734,,,,43360.0
포르투갈,Portugal,104156,10196709,1062048,15550992.0,75.7,26.0,15.0,0.10415595855486315,86.1,81.0,"86
-4",1.7,95.1,677.0,17907,5.0,1010168.0,651.0,35729.0
