국가,백신접종수,Enough_percent_people:,1차접종,2차접종,일별접종수
Global Total,6199443500.0,-999.0,-999.0,-999.0,29152868.0
Mainland China,2203185000.0,78.7,78.6,73.0,3171286.0
India,876538600.0,32.0,46.7,16.8,7178901.0
EU,564029950.0,63.5,67.3,64.7,1052903.0
U.S.,391152580.0,61.1,64.4,55.8,701422.0
Brazil,233261970.0,56.5,71.3,41.9,1317163.0
Japan,161057150.0,63.8,69.5,58.2,1134065.0
Indonesia,139232210.0,26.1,32.9,18.4,1916012.0
Turkey,108761680.0,65.4,64.5,53.0,381129.0
Germany,107197990.0,64.5,67.9,64.2,194817.0
Mexico,99366400.0,38.9,49.8,35.0,536693.0
France,94250530.0,72.7,77.4,74.6,229555.0
U.K.,93565470.0,70.0,73.0,67.1,63126.0
Russia,89865310.0,30.6,32.6,28.5,214966.0
Italy,84351560.0,69.9,74.5,74.5,211345.0
Pakistan,79533210.0,19.4,28.3,13.4,670870.0
Spain,69936750.0,75.2,81.0,78.5,72816.0
South Korea,62462920.0,60.4,74.5,46.3,533067.0
Canada,56036104.0,74.7,76.2,70.6,105929.0
Argentina,51222136.0,57.0,65.7,48.3,222650.0
Thailand,46023016.0,33.1,42.4,22.8,640484.0
Philippines,44361284.0,20.7,23.5,19.2,369770.0
Iran,43372270.0,26.0,35.5,16.8,1368407.0
Malaysia,43028920.0,66.0,70.6,60.7,300427.0
Saudi Arabia,41886224.0,61.4,68.4,54.4,101318.0
Bangladesh,41466456.0,12.4,14.9,10.0,504273.0
Morocco,40273384.0,56.6,61.6,51.6,237441.0
Colombia,39701908.0,39.4,51.4,32.8,169329.0
Vietnam,39232772.0,20.3,32.1,8.6,621033.0
Poland,37158644.0,48.9,52.1,51.1,25851.0
Chile,31553676.0,82.6,78.5,73.8,109701.0
Australia,27109766.0,53.1,63.1,41.9,285221.0
Sri Lanka,26096108.0,59.8,66.0,53.3,167003.0
Peru,25912376.0,39.1,46.7,31.1,246687.0
Cambodia,23830570.0,72.2,79.6,66.0,213009.0
Netherlands,23540560.0,68.3,70.3,63.6,20051.0
Ecuador,20571336.0,59.6,64.2,57.0,16381.0
