,국가명,eng_code,위중증_합계,위중증_1일,치명(%),완치(%),발생률,인구수,확진자_합계,확진자_1일,사망자_합계,사망자_1일,완치_합계,완치_1일,백신접종,접종가능률(인구),1차접종,2차접종,일별접종수
0,미국,U.S.,21819.0,-275.0,1.6,76.0,133058,331002651,43942335,187382.0,709119,2781.0,33394833.0,208564.0,391152580.0,61.1,64.4,55.8,701422.0
1,인도,India,8944.0,,1.3,97.8,24431,1380004385,33714241,21093.0,447699,337.0,32976760.0,28144.0,876538600.0,32.0,46.7,16.8,7178901.0
2,브라질,Brazil,8318.0,,2.8,95.3,100592,212559417,21366395,14423.0,594702,218.0,20361191.0,20818.0,233261970.0,56.5,71.3,41.9,1317163.0
3,영국,U.K.,878.0,-38.0,1.8,80.7,113959,67886011,7701715,37485.0,136208,40.0,6219111.0,33541.0,93565470.0,70.0,73.0,67.1,63126.0
4,러시아,Russia,2300.0,,2.8,88.9,51151,145934462,7464708,21559.0,205531,852.0,6635485.0,17368.0,89865310.0,30.6,32.6,28.5,214966.0
5,터키,Turkey,633.0,,0.9,92.3,84132,84339067,7066688,27188.0,63372,206.0,6522435.0,25160.0,108761680.0,65.4,64.5,53.0,381129.0
6,프랑스,France,1609.0,,1.7,96.3,107278,65273511,6995628,1309.0,116537,74.0,6737491.0,14460.0,94250530.0,72.7,77.4,74.6,229555.0
7,이란,Iran,6124.0,-85.0,2.2,89.7,66192,83992949,5559691,11701.0,119888,239.0,4988109.0,22011.0,43372270.0,26.0,35.5,16.8,1368407.0
8,아르헨티나,Argentina,1200.0,-37.0,2.2,97.4,116245,45195774,5251940,1538.0,114954,92.0,5113603.0,2007.0,51222136.0,57.0,65.7,48.3,222650.0
9,콜롬비아,Colombia,542.0,,2.5,96.8,97368,50882891,4952690,1015.0,126178,33.0,4793387.0,1672.0,39701908.0,39.4,51.4,32.8,169329.0
10,스페인,Spain,837.0,,1.7,95.6,105956,46754778,4951640,5039.0,86298,69.0,4736022.0,27855.0,69936750.0,75.2,81.0,78.5,72816.0
11,이탈리아,Italy,488.0,5.0,2.8,95.0,77157,60461826,4662087,1773.0,130742,45.0,4430265.0,2892.0,84351560.0,69.9,74.5,74.5,211345.0
12,독일,Germany,1435.0,,2.2,94.4,50350,83783942,4212201,4941.0,94049,66.0,3978200.0,11500.0,107197990.0,64.5,67.9,64.2,194817.0
13,인도네시아,Indonesia,,,3.4,95.7,15397,273523615,4211460,2057.0,141709,124.0,4031099.0,3551.0,139232210.0,26.1,32.9,18.4,1916012.0
14,멕시코,Mexico,4798.0,,7.6,82.3,28199,128932753,3635807,3007.0,275676,230.0,2991723.0,7262.0,99366400.0,38.9,49.8,35.0,536693.0
15,폴란드,Poland,168.0,15.0,2.6,91.7,76747,37846611,2904631,976.0,75601,29.0,2662115.0,107.0,37158644.0,48.9,52.1,51.1,25851.0
16,필리핀,Philippines,3170.0,,1.5,93.3,23024,109581078,2522965,32107.0,37686,281.0,2353140.0,61134.0,44361284.0,20.7,23.5,19.2,369770.0
17,우크라이나,Ukraine,177.0,,2.3,93.6,54922,43733762,2401956,6552.0,55863,143.0,2248071.0,2927.0,17867952.0,21.4,29.6,13.2,157673.0
18,말레이시아,Malaysia,978.0,-72.0,1.2,90.8,68607,32365999,2209194,10959.0,25695,258.0,2005939.0,16430.0,43028920.0,66.0,70.6,60.7,300427.0
19,페루,Peru,1025.0,2.0,9.2,,65915,32971854,2173354,320.0,199314,22.0,,,25912376.0,39.1,46.7,31.1,246687.0
20,네덜란드,Netherlands,160.0,-17.0,0.9,,116697,17134872,1999592,1707.0,18162,8.0,,,23540560.0,68.3,70.3,63.6,20051.0
21,이라크,Iraq,516.0,-5.0,1.1,95.3,49689,40222493,1998615,2401.0,22187,45.0,1904022.0,3795.0,7448300.0,9.5,11.7,7.3,110874.0
22,일본,Japan,1066.0,-44.0,1.0,96.8,13428,126476461,1698344,1722.0,17577,50.0,1643625.0,4341.0,161057150.0,63.8,69.5,58.2,1134065.0
23,체코,Czech Republic,36.0,6.0,1.8,97.8,157838,10708981,1690288,668.0,30454,,1653600.0,431.0,11788930.0,55.3,57.0,55.8,8874.0
24,칠레,Chile,389.0,9.0,2.3,97.3,86460,19116201,1652795,431.0,37449,4.0,1608584.0,1088.0,31553676.0,82.6,78.5,73.8,109701.0
25,캐나다,Canada,638.0,,1.7,95.4,42813,37742154,1612431,10052.0,27698,49.0,1538280.0,10029.0,56036104.0,74.7,76.2,70.6,105929.0
26,태국,Thailand,3324.0,,1.0,91.6,22656,69799978,1581415,9489.0,16498,129.0,1448206.0,12805.0,46023016.0,33.1,42.4,22.8,640484.0
27,방글라데시,Bangladesh,1408.0,-5.0,1.8,97.4,9435,164689383,1553873,1310.0,27470,31.0,1513876.0,1195.0,41466456.0,12.4,14.9,10.0,504273.0
28,이스라엘,Israel,641.0,,0.6,94.9,147235,8655535,1270230,,7684,,1205657.0,,14970627.0,82.7,67.3,62.1,29290.0
29,파키스탄,Pakistan,4015.0,-18.0,2.2,93.8,5622,220892340,1241825,1400.0,27638,41.0,1164219.0,2042.0,79533210.0,19.4,28.3,13.4,670870.0
30,벨기에,Belgium,206.0,-10.0,2.1,93.1,106851,11589623,1238358,4635.0,25568,14.0,1152355.0,7685.0,16644129.0,72.6,74.8,73.2,22185.0
31,루마니아,Romania,1267.0,49.0,3.0,91.2,62939,19237691,1210810,11049.0,36658,208.0,1104496.0,5701.0,10114580.0,26.1,28.2,27.5,20423.0
32,스웨덴,Sweden,35.0,-7.0,1.3,,113986,10099265,1151173,1766.0,14808,27.0,,,13703515.0,66.3,69.2,63.3,30188.0
33,포르투갈,Portugal,74.0,-5.0,1.7,95.5,104718,10196709,1067775,600.0,17962,7.0,1019266.0,1331.0,15950862.0,77.6,86.9,84.0,23657.0
34,모로코,Morocco,552.0,-46.0,1.5,96.9,25220,36910560,929699,394.0,14199,32.0,901220.0,2248.0,40273384.0,56.6,61.6,51.6,237441.0
35,세르비아,Serbia,251.0,26.0,0.9,85.5,106012,8737371,926269,8467.0,8142,45.0,792262.0,5785.0,6409263.0,46.0,43.4,41.4,15790.0
36,카자흐스탄,Kazakhstan,221.0,,1.3,92.6,46904,18776707,880709,1719.0,11100,35.0,815664.0,2781.0,14013701.0,37.6,40.4,34.4,56369.0
37,쿠바,Cuba,406.0,20.0,0.8,95.4,76528,11326616,866808,6009.0,7330,51.0,826727.0,7105.0,20298170.0,89.6,79.8,43.6,270811.0
38,스위스,Switzerland,209.0,,1.3,90.7,96800,8654622,837767,1288.0,11079,26.0,759741.0,,10358035.0,60.6,64.3,58.3,28480.0
39,헝가리,Hungary,74.0,3.0,3.7,95.4,85041,9660351,821526,265.0,30179,8.0,783815.0,648.0,11167215.0,57.1,60.2,57.7,5617.0
40,요르단,Jordan,446.0,-30.0,1.3,97.2,80548,10203134,820798,1015.0,10697,17.0,797773.0,1069.0,6960192.0,34.6,36.6,32.3,16091.0
41,네팔,Nepal,,,1.4,96.3,27226,29136808,793271,904.0,11115,12.0,763734.0,1318.0,13166598.0,23.1,23.9,21.7,186712.0
42,베트남,Vietnam,,,2.5,72.7,7917,97338579,770640,4589.0,18936,178.0,559941.0,21487.0,39232772.0,20.3,32.1,8.6,621033.0
43,오스트리아,Austria,240.0,6.0,1.5,95.8,82026,9006398,738763,1561.0,10986,10.0,707860.0,2758.0,10802266.0,61.0,64.5,60.9,9919.0
44,아랍에미레이트,UAE,,,0.3,99.0,74361,9890402,735457,277.0,2094,,727845.0,329.0,19963360.0,92.9,85.9,76.1,59157.0
45,튀니지,Tunisia,316.0,,3.5,95.5,59692,11818619,705474,179.0,24794,6.0,673438.0,394.0,7425277.0,31.5,40.5,29.0,36864.0
46,그리스,Greece,323.0,-14.0,2.3,93.8,62494,10423054,648091,2122.0,14727,48.0,608082.0,2382.0,12088975.0,56.4,59.9,56.6,22088.0
47,레바논,Lebanon,200.0,,1.3,94.9,91274,6825445,622440,205.0,8296,10.0,591002.0,2425.0,2929966.0,21.4,23.5,19.3,28922.0
48,조지아,Georgia,,,1.5,95.3,152749,3989167,609340,2185.0,8884,40.0,580891.0,2010.0,1760878.0,23.6,26.2,21.1,12798.0
49,과테말라,Guatemala,5.0,,2.4,92.3,30883,17915568,550333,773.0,13394,19.0,507777.0,2564.0,6757605.0,19.2,24.9,13.1,73439.0
50,사우디아라비아,Saudi Arabia,227.0,-17.0,1.6,98.0,15713,34813871,547035,50.0,8709,5.0,536079.0,53.0,41886224.0,61.4,68.4,54.4,101318.0
51,벨라루스,Belarus,,,0.8,96.6,56523,9449323,534104,1955.0,4114,12.0,516030.0,1469.0,3389520.0,17.9,19.8,16.0,26145.0
52,코스타리카,Costa Rica,443.0,-16.0,1.2,80.8,103664,5094118,525999,4817.0,6277,88.0,425077.0,4873.0,5278479.0,52.0,64.5,39.5,12.0
53,스리랑카,Sri Lanka,,,2.5,88.5,24075,21413249,514592,983.0,12731,51.0,455344.0,812.0,26096108.0,59.8,66.0,53.3,167003.0
54,에콰도르,Ecuador,759.0,,6.4,87.3,28830,17643054,508655,797.0,32747,27.0,443880.0,,20571336.0,59.6,64.2,57.0,16381.0
55,볼리비아,Bolivia,220.0,,3.7,91.8,42765,11673021,499202,307.0,18707,7.0,458227.0,711.0,6700654.0,29.0,36.8,28.2,33238.0
56,불가리아,Bulgaria,432.0,-108.0,4.2,87.3,71666,6948445,495397,2536.0,20638,149.0,432315.0,2268.0,2521738.0,18.1,17.3,19.0,5780.0
57,아제르바이잔,Azerbaijan,,,1.3,94.1,47479,10139177,481401,,6476,,452968.0,,8350575.0,41.8,47.2,36.4,53286.0
58,파나마,Panama,61.0,,1.5,97.7,108084,4314767,466357,179.0,7216,8.0,455577.0,180.0,5367816.0,63.6,69.7,57.5,16408.0
59,파라과이,Paraguay,23.0,,3.5,96.3,64479,7132538,459855,27.0,16191,48.0,442854.0,109.0,4488153.0,31.4,36.7,26.1,9935.0
60,미얀마,Myanmar,,,3.8,90.1,8474,54409800,459436,1282.0,17583,56.0,413821.0,1866.0,9001616.0,8.5,10.5,6.6,163440.0
61,쿠웨이트,Kuwait,10.0,-2.0,0.6,99.2,96374,4270571,411533,49.0,2447,1.0,408424.0,42.0,2380000.0,25.1,56.2,19.4,12990.0
62,슬로바키아,Slovakia,119.0,20.0,3.1,94.4,75027,5459642,409621,1012.0,12606,10.0,386622.0,474.0,4762272.0,43.7,44.8,41.3,6412.0
63,크로아티아,Croatia,102.0,5.0,2.1,96.1,97721,4105267,401169,1061.0,8614,8.0,385455.0,1098.0,3413174.0,42.0,44.5,41.7,6307.0
64,우루과이,Uruguay,13.0,-1.0,1.6,98.1,111897,3473730,388572,70.0,6053,1.0,381190.0,152.0,6214949.0,88.3,77.7,72.9,20806.0
65,아일랜드,Ireland,66.0,1.0,1.4,88.0,78419,4937786,385721,1044.0,5209,,339559.0,1926.0,7200652.0,72.7,76.1,74.1,9025.0
66,베네수엘라,Venezuela,681.0,,1.2,95.3,12827,28435940,364758,1458.0,4427,15.0,347693.0,1090.0,14050000.0,25.3,31.6,18.9,246316.0
67,온두라스,Honduras,418.0,-33.0,2.7,30.0,36812,9904607,364605,1588.0,9705,26.0,109496.0,557.0,5196072.0,26.6,32.8,20.4,46577.0
68,덴마크,Denmark,15.0,-3.0,0.7,97.9,61777,5792202,357827,457.0,2652,6.0,350430.0,403.0,8815419.0,75.9,76.7,75.1,4355.0
69,에티오피아,Ethiopia,791.0,-7.0,1.6,90.3,2984,114963588,342305,591.0,5439,38.0,308938.0,543.0,3535329.0,1.8,2.9,0.8,50195.0
70,리비아,Libya,,,1.4,75.8,49274,6871292,337890,,4617,,256121.0,,1546967.0,11.8,20.7,2.8,11651.0
71,리투아니아,Lithuania,203.0,11.0,1.5,91.3,120449,2722289,327896,1242.0,4946,16.0,299479.0,212.0,3199916.0,57.5,62.5,57.7,21363.0
72,대한민국,South Korea,324.0,5.0,0.8,88.6,6022,51269185,305840,2289.0,2464,8.0,270928.0,1796.0,62462920.0,60.4,74.5,46.3,533067.0
73,오만,Oman,20.0,-2.0,1.3,97.9,59473,5106626,303705,32.0,4095,,297252.0,335.0,4946987.0,59.0,69.1,48.9,38813.0
74,이집트,Egypt,90.0,,5.7,84.4,2961,102334404,302327,702.0,17224,37.0,255059.0,588.0,15057720.0,7.6,9.7,5.5,303446.0
75,몽골,Mongolia,192.0,,0.4,95.2,91181,3278290,298919,2153.0,1242,17.0,284712.0,,4545348.0,68.9,68.3,64.5,16573.0
