제목,평점,참여명수,예매율,개요,감독
샹치와 텐 링즈의 전설,6.76,"5,128",17.41,"액션, 모험, 판타지",데스틴 크리튼
바쿠라우,7.89,19,7.15,"미스터리, 스릴러, 서부","클레버 멘돈사 필로, 줄리아노 도르넬레스"
최선의 삶,8.87,84,6.46,드라마,이우정
건파우더 밀크셰이크,6.28,109,6.02,액션,나봇 파푸샤도
인질,7.36,"3,696",5.77,"액션, 스릴러",필감성
쇼미더고스트,0.00,0,5.33,"코미디, 공포",김은경
코다,9.36,336,5.03,드라마,션 헤이더
맨 인 더 다크 2 ,8.14,383,3.8,"범죄, 공포, 스릴러",로도 사야구에즈
좋은 사람,7.00,1,3.4,"서스펜스, 미스터리",정욱
슈퍼문,0.00,0,2.42,"애니메이션, 모험, 코미디",홍대영
모가디슈,8.33,"13,761",2.32,"액션, 드라마",류승완
습도 다소 높음,8.47,47,1.97,"코미디, 드라마",고봉수
내가 날 부를 때,10.00,1,1.82,드라마,인뤄신
죽을 때까지,0.00,0,1.48,스릴러,스콧 데일
싱크홀,6.78,"5,803",1.13,드라마,김지훈
사랑에 관한 짧은 필름,8.67,147,1.08,"드라마, 멜로/로맨스",크쥐시토프 키에슬로프스키
생각의 여름,8.28,43,1.04,드라마,김종재
너의 이름은.,8.79,"32,748",1.04,"애니메이션, 드라마, 멜로/로맨스",신카이 마코토
살인에 관한 짧은 필름,8.15,65,0.84,"드라마, 범죄",크쥐시토프 키에슬로프스키
리스펙트,8.00,4,0.74,드라마,리슬 타미
날씨의 아이,7.95,"6,045",0.64,애니메이션,신카이 마코토
꽃다발 같은 사랑을 했다,9.09,349,0.54,멜로/로맨스,도이 노부히로
여름날 우리,8.99,281,0.54,"멜로/로맨스, 코미디",한톈
노매드랜드,8.47,629,0.54,드라마,클로이 자오
레미니센스,7.01,348,0.39,"SF, 미스터리, 멜로/로맨스",리사 조이
꿈꾸는 고양이,0.00,0,0.39,다큐멘터리,"지원, 강민현"
뱅드림! 로젤리아 에피소드 Ⅱ : 송 아이 엠,0.00,0,0.35,애니메이션,코다이 카키모토
프리 가이,9.11,"1,750",0.3,"액션, 모험",숀 레비
자마,7.29,14,0.3,드라마,루크레시아 마르텔
분노,8.56,"1,307",0.25,"스릴러, 드라마",이상일
캡틴 판타스틱,8.59,452,0.2,드라마,맷 로스
스네이크 아이즈: 지.아이.조,0.00,0,0.2,"액션, 모험, 판타지",로베르트 슈벤트케
해변의 에트랑제,8.03,135,0.2,"애니메이션, 멜로/로맨스",오오하시 아키요
퍼피 구조대 더 무비,9.54,79,0.2,애니메이션,캘런 브런커
극장판 페이트/그랜드 오더 신성원탁영역 카멜롯 팔라딘; 아가트람,8.56,16,0.2,"애니메이션, 액션, 판타지",아라이 카즈토
박강아름 결혼하다,9.57,35,0.15,다큐멘터리,박강아름
그린 나이트,7.63,385,0.15,"모험, 드라마, 판타지",데이빗 로워리
남색대문,8.23,62,0.1,"드라마, 멜로/로맨스",이치엔
귀문,4.64,620,0.1,"미스터리, 스릴러, 공포",심덕근
갈매기,8.94,65,0.1,드라마,김미조
올드,6.72,731,0.1,"스릴러, 공포",M. 나이트 샤말란
나는 나대로 혼자서 간다,7.96,27,0.1,드라마,오키타 슈이치
사운드 오브 데스,8.67,6,0.1,"공포, 범죄, 스릴러",알렉스 노이어
이도공간,8.29,225,0,스릴러,나지량
사제로부터 온 편지,9.83,6,0.1,"다큐멘터리, 드라마",최종태
중경삼림,8.92,"2,577",0.05,드라마,왕가위
팜 스프링스,8.25,61,0.05,"코미디, 멜로/로맨스, 판타지",맥스 바바코우
"조제, 호랑이 그리고 물고기들",9.00,228,0.05,"애니메이션, 드라마",타무라 코타로
캐논볼,8.71,28,0.05,"드라마, 가족",정승민
콰이강의 다리,8.87,202,0.05,"전쟁, 모험, 드라마",데이빗 린
소셜 네트워크,7.84,"2,865",0.05,드라마,데이빗 핀처
인트로덕션,7.68,92,0.05,,홍상수
흩어진 밤,7.68,31,0.05,드라마,"이지형, 김솔"
잘리카투,7.55,31,0.05,"액션, 스릴러",리조 조세 펠리세리
사냥의 시간,5.67,"9,588",0,스릴러,윤성현
켈리 갱,7.43,7,0.05,"범죄, 액션, 드라마",저스틴 커젤
묵향,5.33,3,0.01,공연실황,정구호
아담,7.50,6,0.01,드라마,마리암 투자니
그대 너머에,7.50,4,0.01,멜로/로맨스,박홍민
블랙 위도우,8.47,"7,253",0.01,"액션, 모험, SF",케이트 쇼트랜드
언더그라운드,8.00,5,0.01,다큐멘터리,김정근
피닉스,8.45,66,0.01,드라마,크리스티안 펫졸드
교실 안의 야크,9.40,173,0.01,드라마,파우 초이닝 도르지
다이노 마이 프렌드,6.14,14,0.01,"애니메이션, 모험",종유
더 수어사이드 스쿼드,7.06,"2,244",0.01,"액션, 모험, 판타지, 미스터리, SF",제임스 건
숏버스 감성행,8.30,10,0.01,멜로/로맨스,"강인석, 안다훈, 박경진"
