,영화댓글
0,재미있는데 후반부에 갑자기 짱깨 무협 영화 보는 줄 알았음 급 짜게 식음… 나머지는 ㄱㅊ
1,진짜 개실망. 이건중국영화다 보지마라
2,양조위가 부릅니다너무나 많이 사랑한 죄~~
3,마블 영화중 최고의 실패작시작부터 졸았다 끈금포 무협 로맨스씬에서는 그냥 소리지를뻔했다. 처음부터 끝까지 그냥 중국 sf판타지무협 영화였다 엔딩크레딧 2개 있다 안봐도 크게 의미없다 그냥 검색해서 내용만 알면 될듯
4,솔직히 이정도 평점 받을 영화는 아니라고 봄...물론 한국사람들이 싫어하는 요소가 많은건 인정하고 본인도 별로였던 부분도 많았지만 액션과 영상미가 모든 걸 커버쳤다고 생각함
5,마블 최악이다..여주인공은 원주누나 닮았고진짜 그래픽많은 중국영화 본거같았다무술은 이제 버리자..
6,대박잼있어요!!! 꼭보세요
7,중국 뭍어서 좀 반감 가지고 봤는데 액션씬 지립니다. 역시 믿고보는.마블이네요 근데 마지막에 최종보스는 좀 아쉬움
8,근래 들어 본 영화 중에 가장 재밌네요 평점 낮은게 있길래 기대 안했는데 최곱니다
9,한심한 2030 한남들 여기서도 중국영화 이 ㅈㄹ 떠네
10,마블 영화중에 가장 실망스러웠음 / 액션은 볼만한데 마지막 전투신은 너무 허무함 다음 시리즈가 어떻게 이어질지 모르지만 모든 요소가 밋밋함.개인적이지만 남자 주인공과 친구가 매력적이지 않음 엄마 아빠가 더 매력적임. 팬던트가 중요한거 처럼 여기더니 별거 없음 뭔가 하나 걸리기 시작하니 스토리 하나 하나 집중이 안됨
11,난 깨달았다. 마블이 만들어도 안되는건안되는거구나. 중국몽에서 어서 깨기를...
12,B급 괴수영화 보는줄... 빨리 공감눌러주세요
13,헐리웃 CG로 해석된 산해경의 모습과 배우들간의 캐미가 눈길을 끈다. 시트콤을 연상시키는 유머와 성룡 액션에 대한 오마주도 합격점. 다만 주인공보다 양조위에게 눈이 가는 것은 어쩔 수 없다.
14,무술의 향연. 내 안의 쿵푸팬더가 살아난다.
15,짱개틱 시작 하자마자  거부감 오짐
16,초반 중반까지 맨몸 액션은 볼만 했으나 중반부 이후부터 스토리도 산으로 가는 거 같고 CG를 너무 이용해서 애니 보는 듯한 느낌이라 개운치 않네요. 쿠키도 그다지 중요해 보이지 않고..
17,
18,재미있다 재밌어. 뻔한 스토리면 어떠냐 액션도 좋고 캐릭터들도 매력적임
19,가볍게 즐길 수 있음 중간중간 웃긴 장면들이 있음 볼만함
20,이거 보고 양조위 형님과 다시 사랑에 빠짐.진짜 영화황제... 조위형님은 전설이다
