일자,계(명)
2020-01-20,1
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,1
2020-01-27,1
2020-01-28,0
2020-01-29,0
2020-01-30,3
2020-01-31,4
2020-02-03,0
2020-02-04,1
2020-02-05,5
2020-02-06,3
2020-02-07,0
2020-02-10,1
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-17,0
2020-02-18,2
2020-02-19,34
2020-02-20,16
2020-02-21,74
2020-02-24,207
2020-02-25,130
2020-02-26,253
2020-02-27,449
2020-02-28,427
2020-03-02,686
2020-03-03,600
2020-03-04,516
2020-03-05,438
2020-03-06,518
2020-03-09,248
2020-03-10,131
2020-03-11,242
2020-03-12,114
2020-03-13,110
2020-03-16,74
2020-03-17,84
2020-03-18,93
2020-03-19,152
2020-03-20,87
2020-03-23,64
2020-03-24,76
2020-03-25,100
2020-03-26,104
2020-03-27,91
2020-03-30,78
2020-03-31,125
2020-04-01,101
2020-04-02,89
2020-04-03,86
2020-04-06,47
2020-04-07,47
2020-04-08,53
2020-04-09,39
2020-04-10,27
2020-04-13,25
2020-04-14,27
2020-04-15,27
2020-04-16,22
2020-04-17,22
2020-04-20,13
2020-04-21,9
2020-04-22,11
2020-04-23,8
2020-04-24,6
2020-04-27,10
2020-04-28,14
2020-04-29,9
2020-04-30,4
2020-05-01,9
2020-05-04,8
2020-05-05,3
2020-05-06,2
2020-05-07,4
2020-05-08,12
2020-05-11,35
2020-05-12,27
2020-05-13,26
2020-05-14,29
2020-05-15,27
2020-05-18,15
2020-05-19,13
2020-05-20,32
2020-05-21,12
2020-05-22,20
2020-05-25,16
2020-05-26,19
2020-05-27,40
2020-05-28,79
2020-05-29,58
2020-06-01,35
2020-06-02,38
2020-06-03,49
2020-06-04,39
2020-06-05,39
2020-06-08,37
2020-06-09,38
2020-06-10,50
2020-06-11,45
2020-06-12,56
2020-06-15,37
2020-06-16,34
2020-06-17,43
2020-06-18,59
2020-06-19,49
2020-06-22,17
2020-06-23,46
2020-06-24,51
2020-06-25,28
2020-06-26,39
2020-06-29,42
2020-06-30,42
2020-07-01,51
2020-07-02,54
2020-07-03,61
2020-07-06,48
2020-07-07,44
2020-07-08,62
2020-07-09,50
2020-07-10,45
2020-07-13,62
2020-07-14,33
2020-07-15,39
2020-07-16,61
2020-07-17,60
2020-07-20,26
2020-07-21,45
2020-07-22,63
2020-07-23,59
2020-07-24,41
2020-07-27,25
2020-07-28,28
2020-07-29,48
2020-07-30,18
2020-07-31,36
2020-08-03,23
2020-08-04,34
2020-08-05,33
2020-08-06,43
2020-08-07,20
2020-08-10,28
2020-08-11,34
2020-08-12,54
2020-08-13,56
2020-08-14,103
2020-08-17,197
2020-08-18,246
2020-08-19,297
