,일자,계(명)
0,2020-01-20,1
1,2020-01-21,0
2,2020-01-22,0
3,2020-01-23,0
4,2020-01-24,1
5,2020-01-25,0
6,2020-01-26,1
7,2020-01-27,1
8,2020-01-28,0
9,2020-01-29,0
10,2020-01-30,3
11,2020-01-31,4
12,2020-02-01,1
13,2020-02-02,3
14,2020-02-03,0
15,2020-02-04,1
16,2020-02-05,5
17,2020-02-06,3
18,2020-02-07,0
19,2020-02-08,0
20,2020-02-09,3
21,2020-02-10,1
22,2020-02-11,0
23,2020-02-12,0
24,2020-02-13,0
25,2020-02-14,0
26,2020-02-15,0
27,2020-02-16,2
28,2020-02-17,0
29,2020-02-18,2
30,2020-02-19,34
31,2020-02-20,16
32,2020-02-21,74
33,2020-02-22,190
34,2020-02-23,210
35,2020-02-24,207
36,2020-02-25,130
37,2020-02-26,253
38,2020-02-27,449
39,2020-02-28,427
40,2020-02-29,909
41,2020-03-01,595
42,2020-03-02,686
43,2020-03-03,600
44,2020-03-04,516
45,2020-03-05,438
46,2020-03-06,518
47,2020-03-07,483
48,2020-03-08,367
49,2020-03-09,248
50,2020-03-10,131
51,2020-03-11,242
52,2020-03-12,114
53,2020-03-13,110
54,2020-03-14,107
55,2020-03-15,76
56,2020-03-16,74
57,2020-03-17,84
58,2020-03-18,93
59,2020-03-19,152
60,2020-03-20,87
61,2020-03-21,147
62,2020-03-22,98
63,2020-03-23,64
64,2020-03-24,76
65,2020-03-25,100
66,2020-03-26,104
67,2020-03-27,91
68,2020-03-28,146
69,2020-03-29,105
70,2020-03-30,78
71,2020-03-31,125
72,2020-04-01,101
73,2020-04-02,89
74,2020-04-03,86
75,2020-04-04,94
76,2020-04-05,81
77,2020-04-06,47
78,2020-04-07,47
79,2020-04-08,53
80,2020-04-09,39
81,2020-04-10,27
82,2020-04-11,30
83,2020-04-12,32
84,2020-04-13,25
85,2020-04-14,27
86,2020-04-15,27
87,2020-04-16,22
88,2020-04-17,22
89,2020-04-18,18
90,2020-04-19,8
91,2020-04-20,13
92,2020-04-21,9
93,2020-04-22,11
94,2020-04-23,8
95,2020-04-24,6
96,2020-04-25,10
97,2020-04-26,10
98,2020-04-27,10
99,2020-04-28,14
100,2020-04-29,9
101,2020-04-30,4
102,2020-05-01,9
103,2020-05-02,6
104,2020-05-03,13
105,2020-05-04,8
106,2020-05-05,3
107,2020-05-06,2
108,2020-05-07,4
109,2020-05-08,12
110,2020-05-09,18
111,2020-05-10,34
112,2020-05-11,35
113,2020-05-12,27
114,2020-05-13,26
115,2020-05-14,29
116,2020-05-15,27
117,2020-05-16,19
118,2020-05-17,13
119,2020-05-18,15
120,2020-05-19,13
121,2020-05-20,32
122,2020-05-21,12
123,2020-05-22,20
124,2020-05-23,23
125,2020-05-24,25
126,2020-05-25,16
127,2020-05-26,19
128,2020-05-27,40
129,2020-05-28,79
130,2020-05-29,58
131,2020-05-30,39
132,2020-05-31,27
133,2020-06-01,35
134,2020-06-02,38
135,2020-06-03,49
136,2020-06-04,39
137,2020-06-05,39
138,2020-06-06,51
139,2020-06-07,57
140,2020-06-08,37
141,2020-06-09,38
142,2020-06-10,50
143,2020-06-11,45
144,2020-06-12,56
145,2020-06-13,48
146,2020-06-14,34
147,2020-06-15,37
148,2020-06-16,34
149,2020-06-17,43
150,2020-06-18,59
151,2020-06-19,49
152,2020-06-20,67
153,2020-06-21,48
154,2020-06-22,17
155,2020-06-23,46
156,2020-06-24,51
157,2020-06-25,28
158,2020-06-26,39
159,2020-06-27,51
160,2020-06-28,62
161,2020-06-29,42
162,2020-06-30,42
163,2020-07-01,51
164,2020-07-02,54
165,2020-07-03,61
166,2020-07-04,63
167,2020-07-05,61
168,2020-07-06,48
169,2020-07-07,44
170,2020-07-08,62
171,2020-07-09,50
172,2020-07-10,45
173,2020-07-11,35
174,2020-07-12,44
175,2020-07-13,62
176,2020-07-14,33
177,2020-07-15,39
178,2020-07-16,61
179,2020-07-17,60
180,2020-07-18,39
181,2020-07-19,34
182,2020-07-20,26
183,2020-07-21,45
184,2020-07-22,63
185,2020-07-23,59
186,2020-07-24,41
187,2020-07-25,113
188,2020-07-26,58
189,2020-07-27,25
190,2020-07-28,28
191,2020-07-29,48
192,2020-07-30,18
193,2020-07-31,36
194,2020-08-01,31
195,2020-08-02,30
196,2020-08-03,23
197,2020-08-04,34
198,2020-08-05,33
199,2020-08-06,43
200,2020-08-07,20
201,2020-08-08,43
202,2020-08-09,36
203,2020-08-10,28
204,2020-08-11,34
205,2020-08-12,54
206,2020-08-13,56
207,2020-08-14,103
208,2020-08-15,166
209,2020-08-16,279
210,2020-08-17,197
211,2020-08-18,246
212,2020-08-19,297
213,2020-08-20,288
214,2020-08-21,324
215,2020-08-22,332
216,2020-08-23,396
217,2020-08-24,266
218,2020-08-25,280
219,2020-08-26,320
220,2020-08-27,441
221,2020-08-28,371
222,2020-08-29,323
223,2020-08-30,299
224,2020-08-31,248
225,2020-09-01,235
226,2020-09-02,267
