,일자,계(명)
0,2020-01-20,1
1,2020-01-21,0
2,2020-01-22,0
3,2020-01-23,0
4,2020-01-24,1
5,2020-01-27,1
6,2020-01-28,0
7,2020-01-29,0
8,2020-01-30,3
9,2020-01-31,4
10,2020-02-03,0
11,2020-02-04,1
12,2020-02-05,5
13,2020-02-06,3
14,2020-02-07,0
15,2020-02-10,1
16,2020-02-11,0
17,2020-02-12,0
18,2020-02-13,0
19,2020-02-14,0
20,2020-02-17,0
21,2020-02-18,2
22,2020-02-19,34
23,2020-02-20,16
24,2020-02-21,74
25,2020-02-24,207
26,2020-02-25,130
27,2020-02-26,253
28,2020-02-27,449
29,2020-02-28,427
30,2020-03-02,686
31,2020-03-03,600
32,2020-03-04,516
33,2020-03-05,438
34,2020-03-06,518
35,2020-03-09,248
36,2020-03-10,131
37,2020-03-11,242
38,2020-03-12,114
39,2020-03-13,110
40,2020-03-16,74
41,2020-03-17,84
42,2020-03-18,93
43,2020-03-19,152
44,2020-03-20,87
45,2020-03-23,64
46,2020-03-24,76
47,2020-03-25,100
48,2020-03-26,104
49,2020-03-27,91
50,2020-03-30,78
51,2020-03-31,125
52,2020-04-01,101
53,2020-04-02,89
54,2020-04-03,86
55,2020-04-06,47
56,2020-04-07,47
57,2020-04-08,53
58,2020-04-09,39
59,2020-04-10,27
60,2020-04-13,25
61,2020-04-14,27
62,2020-04-15,27
63,2020-04-16,22
64,2020-04-17,22
65,2020-04-20,13
66,2020-04-21,9
67,2020-04-22,11
68,2020-04-23,8
69,2020-04-24,6
70,2020-04-27,10
71,2020-04-28,14
72,2020-04-29,9
73,2020-04-30,4
74,2020-05-01,9
75,2020-05-04,8
76,2020-05-05,3
77,2020-05-06,2
78,2020-05-07,4
79,2020-05-08,12
80,2020-05-11,35
81,2020-05-12,27
82,2020-05-13,26
83,2020-05-14,29
84,2020-05-15,27
85,2020-05-18,15
86,2020-05-19,13
87,2020-05-20,32
88,2020-05-21,12
89,2020-05-22,20
90,2020-05-25,16
91,2020-05-26,19
92,2020-05-27,40
93,2020-05-28,79
94,2020-05-29,58
95,2020-06-01,35
96,2020-06-02,38
97,2020-06-03,49
98,2020-06-04,39
99,2020-06-05,39
100,2020-06-08,37
101,2020-06-09,38
102,2020-06-10,50
103,2020-06-11,45
104,2020-06-12,56
105,2020-06-15,37
106,2020-06-16,34
107,2020-06-17,43
108,2020-06-18,59
109,2020-06-19,49
110,2020-06-22,17
111,2020-06-23,46
112,2020-06-24,51
113,2020-06-25,28
114,2020-06-26,39
115,2020-06-29,42
116,2020-06-30,42
117,2020-07-01,51
118,2020-07-02,54
119,2020-07-03,61
120,2020-07-06,48
121,2020-07-07,44
122,2020-07-08,62
123,2020-07-09,50
124,2020-07-10,45
125,2020-07-13,62
126,2020-07-14,33
127,2020-07-15,39
128,2020-07-16,61
129,2020-07-17,60
130,2020-07-20,26
131,2020-07-21,45
132,2020-07-22,63
133,2020-07-23,59
134,2020-07-24,41
135,2020-07-27,25
136,2020-07-28,28
137,2020-07-29,48
138,2020-07-30,18
139,2020-07-31,36
140,2020-08-03,23
141,2020-08-04,34
142,2020-08-05,33
143,2020-08-06,43
144,2020-08-07,20
145,2020-08-10,28
146,2020-08-11,34
147,2020-08-12,54
148,2020-08-13,56
149,2020-08-14,103
150,2020-08-17,197
151,2020-08-18,246
152,2020-08-19,297
153,2020-08-20,288
154,2020-08-21,324
155,2020-08-24,266
156,2020-08-25,280
157,2020-08-26,320
158,2020-08-27,441
159,2020-08-28,371
160,2020-08-31,248
161,2020-09-01,235
162,2020-09-02,267
163,2020-09-03,195
164,2020-09-04,198
165,2020-09-07,119
166,2020-09-08,136
167,2020-09-09,156
168,2020-09-10,155
169,2020-09-11,176
170,2020-09-14,109
171,2020-09-15,106
172,2020-09-16,113
173,2020-09-17,153
174,2020-09-18,126
175,2020-09-21,70
176,2020-09-22,61
177,2020-09-23,110
178,2020-09-24,125
179,2020-09-25,114
180,2020-09-28,50
181,2020-09-29,38
182,2020-09-30,113
183,2020-10-01,77
184,2020-10-02,63
185,2020-10-05,73
186,2020-10-06,75
187,2020-10-07,114
188,2020-10-08,69
189,2020-10-09,54
190,2020-10-12,98
191,2020-10-13,91
192,2020-10-14,84
193,2020-10-15,110
194,2020-10-16,47
195,2020-10-19,76
196,2020-10-20,58
197,2020-10-21,89
198,2020-10-22,121
199,2020-10-23,155
200,2020-10-26,119
201,2020-10-27,88
202,2020-10-28,103
203,2020-10-29,125
204,2020-10-30,113
205,2020-11-02,97
206,2020-11-03,75
207,2020-11-04,117
208,2020-11-05,125
209,2020-11-06,145
210,2020-11-09,126
211,2020-11-10,100
212,2020-11-11,145
213,2020-11-12,143
214,2020-11-13,191
215,2020-11-16,222
216,2020-11-17,230
217,2020-11-18,285
218,2020-11-19,325
219,2020-11-20,348
220,2020-11-23,271
221,2020-11-24,349
222,2020-11-25,382
223,2020-11-26,581
224,2020-11-27,555
225,2020-11-30,438
226,2020-12-01,451
