,영화제목,평점,예매율,평점 참여명수
0,샹치와 텐 링즈의 전설,6.79,16.12,"4,982"
1,최선의 삶,8.96,7.74,82
2,인질,7.36,6.28,"3,682"
3,건파우더 밀크셰이크,6.54,5.39,50
4,코다,9.42,5.2,319
5,바쿠라우,8.41,4.19,17
6,맨 인 더 다크 2 ,8.20,3.68,365
7,모가디슈,8.33,2.09,"13,734"
8,습도 다소 높음,8.47,1.97,47
9,사랑에 관한 짧은 필름,8.67,1.27,147
10,생각의 여름,8.28,1.27,43
11,살인에 관한 짧은 필름,8.15,1.14,65
12,싱크홀,6.78,1.02,"5,795"
13,노매드랜드,8.47,0.7,629
14,꽃다발 같은 사랑을 했다,9.09,0.57,343
15,리스펙트,9.00,0.51,2
16,여름날 우리,8.98,0.51,279
17,레미니센스,7.01,0.38,348
18,분노,8.56,0.32,"1,307"
19,캡틴 판타스틱,8.59,0.25,452
20,프리 가이,9.11,0.25,"1,747"
21,퍼피 구조대 더 무비,9.59,0.25,78
22,자마,8.00,0.19,11
23,중경삼림,8.92,0.13,"2,577"
24,인트로덕션,7.67,0.13,91
25,사제로부터 온 편지,10.00,0.13,5
26,올드,6.72,0.13,731
27,나는 나대로 혼자서 간다,7.96,0.13,27
28,이도공간,8.29,0.13,225
29,그린 나이트,7.63,0.13,385
30,극장판 페이트/그랜드 오더 신성원탁영역 카멜롯 팔라딘; 아가트람,8.56,0.06,16
31,갈매기,8.92,0.06,64
32,사냥의 시간,5.67,0.06,"9,585"
33,남색대문,8.23,0.06,62
34,캐논볼,8.71,0.06,28
35,팜 스프링스,8.25,0.06,61
36,소셜 네트워크,7.84,0.06,"2,863"
37,박강아름 결혼하다,9.55,0.01,33
38,잘리카투,7.55,0.01,31
39,묵향,5.33,0.01,3
40,귀문,4.71,0.01,600
41,코드 카림,4.92,0.01,13
42,아담,7.50,0.01,6
43,블랙 위도우,8.48,0.01,"7,247"
44,"구름의 저편, 약속의 장소",6.89,0.01,111
45,별을 쫓는 아이,7.91,0.01,"1,413"
46,언어의 정원,8.16,0.01,"2,483"
47,언더그라운드,8.00,0.01,5
48,하이큐!! 땅 VS 하늘,8.51,0.01,177
49,더 수어사이드 스쿼드,7.06,0.01,"2,242"
50,숏버스 감성행,8.30,0.01,10
51,다이노 마이 프렌드,6.14,0.01,14
52,피닉스,8.45,0.01,66
53,교실 안의 야크,9.40,0.01,173
54,켈리 갱,7.43,0.01,7
55,오필리아,7.84,0.01,85
56,올리버 색스: 그의 생애,9.33,0.01,3
57,"우리, 둘",9.14,0.01,44
58,은혼 더 파이널,9.44,0.01,256
59,69세,8.64,0.01,"7,597"
60,기담,7.49,0.01,"4,088"
61,너의 췌장을 먹고 싶어,8.39,0.01,"1,070"
62,암살자들,8.92,0.01,52
63,윤희에게,8.97,0.01,"2,587"
64,트립 투 그리스,5.70,0.01,43
65,화양연화,8.77,0.01,"1,897"
66,갈매기,8.08,0.01,142
67,강변호텔,6.00,0.01,410
68,극장판 도라에몽: 진구의 신공룡,9.22,0.01,113
69,너와 파도를 탈 수 있다면,8.58,0.01,320
70,너의 췌장을 먹고 싶어,8.10,0.01,"4,909"
71,더 나이트,5.08,0.01,12
72,더스트맨,8.30,0.01,50
73,데미지,7.52,0.01,223
74,독전,7.52,0.01,"18,811"
75,릴리 슈슈의 모든 것,8.11,0.01,"1,350"
76,메리 크리스마스 미스터 모,8.89,0.01,83
77,몽마르트 파파,9.46,0.01,169
78,바울,9.17,0.01,"1,991"
79,번지 점프를 하다,8.98,0.01,"2,611"
80,베로니카의 이중 생활,8.20,0.01,147
81,보스 베이비 2,9.11,0.01,"1,526"
82,북샵,8.74,0.01,27
83,빛나는 순간,8.48,0.01,264
84,세 가지 색 : 레드,8.30,0.01,94
85,세 가지 색 : 블루,8.37,0.01,173
86,수필러브,0.00,0.01,0
87,신세계,8.94,0.01,"21,746"
88,신은 죽지 않았다 3: 어둠 속의 빛,8.29,0.01,417
89,악녀,6.97,0.01,"9,379"
90,에로스,6.79,0.01,92
91,와인 패밀리,8.26,0.01,39
92,우리의 20세기,8.25,0.01,579
93,이별의 아침에 약속의 꽃을 장식하자,8.91,0.01,"1,436"
94,이스케이프 룸 2: 노 웨이 아웃,8.31,0.01,576
95,이중섭의 아내,7.20,0.01,25
96,정말 먼 곳,8.13,0.01,117
97,천로역정: 천국을 찾아서,8.84,0.01,"1,040"
98,콰이강의 다리,8.87,0.01,202
99,크레센도,9.02,0.01,40
100,하나와 앨리스,8.11,0.01,"1,609"
101,학교 가는 길,9.58,0.01,155
102,해피 투게더,9.19,0.01,"1,165"
103,호우시절,7.40,,"1,917"
104,흩어진 밤,7.68,,31
105,뉴욕의 왕,8.88,,17
106,라임라이트,9.36,,88
107,모던 타임즈,9.33,,"1,200"
108,미스 사이공: 25주년 특별 공연,9.21,,280
109,서커스,9.38,,45
110,시티 라이트,9.44,,200
111,위대한 독재자,9.24,,386
112,콜,7.57,,"5,976"
113,키드,9.26,,151
114,파리의 여인,9.08,,13
115,황금광시대,9.01,,144
