,영화댓글
0,별로. 아니 스렉 짱 갯 아하하하
1,젛았어여 저는ㅠ네네네
2,"나만 강남스타일, 스모선수가 태권도소년 던지는거 별로였나...마블이 왜 한국 이렇게 넣었는지 모르겠음... 그리고 여주 목소리가 너무 ... 신경쓰였음 ㅠㅠ"
3,마블영화중 유일하게 돈아깝다고 생각한 영화.. 믿고봤는데 사기당한 느낌.. 양조위의 연기력이 아까울뿐.. 중국판 디워 딱 그 이상이하도 아닌 뜬금없는 스토리와 연출.. 부디 마블은 정신차리고 중국산에서 벗어나길..
4,중국풍 빼고 보면 기대이상 존잼입니다!! 액션 스케일 장난없네요!! 꼭 아맥으로 보시길추천!!
5,전혀 기대 없이 본 영화인데 마블 영화중에 오랜만에 재미있게 봤음.. 서사적인 부분에서 좀 에러가 있지만.. 다른 마블영화도 비슷하니 패스~ 영상미나 액션은 정말 뛰어납니다 주인공도 보다보니 정가고 ㅋㅋㅋㅋ
6,재미있는데 후반부에 갑자기 짱깨 무협 영화 보는 줄 알았음 급 짜게 식음… 나머지는 ㄱㅊ
7,진짜 개실망. 이건중국영화다 보지마라
8,양조위가 부릅니다너무나 많이 사랑한 죄~~
9,마블 영화중 최고의 실패작시작부터 졸았다 끈금포 무협 로맨스씬에서는 그냥 소리지를뻔했다. 처음부터 끝까지 그냥 중국 sf판타지무협 영화였다 엔딩크레딧 2개 있다 안봐도 크게 의미없다 그냥 검색해서 내용만 알면 될듯
10,솔직히 이정도 평점 받을 영화는 아니라고 봄...물론 한국사람들이 싫어하는 요소가 많은건 인정하고 본인도 별로였던 부분도 많았지만 액션과 영상미가 모든 걸 커버쳤다고 생각함
11,마블 최악이다..여주인공은 원주누나 닮았고진짜 그래픽많은 중국영화 본거같았다무술은 이제 버리자..
12,대박잼있어요!!! 꼭보세요
13,중국 뭍어서 좀 반감 가지고 봤는데 액션씬 지립니다. 역시 믿고보는.마블이네요 근데 마지막에 최종보스는 좀 아쉬움
14,근래 들어 본 영화 중에 가장 재밌네요 평점 낮은게 있길래 기대 안했는데 최곱니다
15,한심한 2030 한남들 여기서도 중국영화 이 ㅈㄹ 떠네
