"고정형CCTV지번주소","위도","경도","자치구","단속지점명","현장구분"
"서울 양천구 목4동 762-10","37.535891","126.870566","양천구","목4동 영도초등학교 앞","불법주정차구역"
"서울 양천구 목4동 797-8","37.53274","126.867191","양천구","목4동 태학관 앞","불법주정차구역"
"서울 양천구 신월2동 452-2","37.526782","126.84391","양천구","신월2동 영림프라임샤시 앞","불법주정차구역"
"서울 양천구 신월7동 928-1","37.522349","126.833529","양천구","신월7동 우성상가 앞","불법주정차구역"
"서울 양천구 목1동 917","37.528982","126.874597","양천구","목1동 파라곤(SBS) 앞","불법주정차구역"
"서울 양천구 목3동 602-10","37.548024","126.866839","양천구","목3동 롯데캐슬프라자 앞","불법주정차구역"
"서울 양천구 신월1동 131-7","37.531127","126.831572","양천구","신월1동 대흥가스 앞","불법주정차구역"
"서울 양천구 신정7동 325-8","37.509141","126.861695","양천구","신정7동 봉영여자중학교 앞","불법주정차구역"
"서울 양천구 신정2동 119-1","37.522205","126.877254","양천구","신정2동 파리바게트 앞","불법주정차구역"
"서울 양천구 목4동 766-16","37.536176","126.867045","양천구","목4동 한신빌딩 앞 사거리","불법주정차구역"
"서울 양천구 목2동 514","37.54678","126.873619","양천구","목2동 염창역4번출구","불법주정차구역"
"서울 양천구 신월1동 146-1","37.535828","126.829128","양천구","신월1동 국민은행 앞","불법주정차구역"
"서울 양천구 신정7동 201-1","37.508343","126.864308","양천구","신정7동 세양청마루아파트","불법주정차구역"
"서울 양천구 신월2동 445-16","37.522326","126.843049","양천구","신월2동 파리바게트 앞","불법주정차구역"
"서울 양천구 신월3동 148-3","37.535496","126.826727","양천구","신월3동 광음교회 맞은편","불법주정차구역"
"서울 양천구 목1동 406-223","37.525942","126.874351","양천구","목1동 송현빌딩 앞","불법주정차구역"
"서울 양천구 목2동 497-2","37.545292","126.871008","양천구","목2동 대명이튼캐슬 옆","불법주정차구역"
"서울 양천구 목2동 515-7","37.546821","126.875945","양천구","목2동 밀레니엄오피스텔 앞","불법주정차구역"
"서울 양천구 신월5동 52-2","37.538705","126.82722","양천구","신월5동 주민센터 앞","불법주정차구역"
"서울 양천구 목1동 406-180","37.524579","126.874973","양천구","목1동 금호아파트","불법주정차구역"
"서울 양천구 목4동 744-18","37.537555","126.868521","양천구","목4동 미성아파트 앞 사거리","불법주정차구역"
"서울 양천구 목5동 908-32","37.537256","126.881427","양천구","목5동 주민센터 앞","불법주정차구역"
"서울 양천구 신정1동 1014-3","37.523031","126.871284","양천구","신정1동 남부지방법원 삼거리","불법주정차구역"
"서울 양천구 신정7동 324-9","37.515997227024535","126.86052794564587","양천구","신정7동 목동제일교회 앞","불법주정차구역"
"서울 양천구 신정동 327","37.512107","126.864064","양천구","양천구청역 2번출구앞 삼거리","불법주정차구역"
"서울 양천구 목동 923-14","37.52743","126.872071","양천구","오목공원앞 삼거리","불법주정차구역"
"서울 양천구 목동 199-48","37.539852","126.87514","양천구","월촌초등학교앞 교차로","불법주정차구역"
"서울 광진구 광장동 334-2","37.54779","127.10699","광진구","모두투어앞","불법주정차구역"
"서울 광진구 광장동 445-3","37.543799","127.10241","광진구","광현교회 앞","불법주정차구역"
"서울 광진구 구의동 135","37.549593","127.08178","광진구","아차산역 5번출구 앞","불법주정차구역"
"서울 중랑구 상봉동 102-73","37.59463","127.08602","중랑구","상봉역 3번출구 파리바게뜨","불법주정차구역"
"서울 중랑구 면목동 102-19","37.58839","127.08762","중랑구","면목역 파리바게뜨","불법주정차구역"
"서울 중랑구 면목동 88-60","37.5924","127.0933","중랑구","상봉로 기사식당 동방빌딩","불법주정차구역"
"서울 중랑구 면목동 68-11","37.58699","127.09443","중랑구","상봉로1길 서일타운","불법주정차구역"
"서울 광진구 군자동 503","37.548609","127.071072","광진구","두산위브 앞","불법주정차구역"
"서울 광진구 구의동 66-62","37.545348","127.08842","광진구","국민은행 앞","불법주정차구역"
"서울 광진구 구의동 68-29","37.545976","127.086327","광진구","구의사거리","불법주정차구역"
"종로구 종로4가 104-1","37.570612","126.9975","교통정보과","종로4가 신한은행","자전거전용차로"
"서울 양천구 목1동 405-87","37.523225","126.875081","양천구","목1동 오목교역7번출구","불법주정차구역"
"서울 양천구 신정6동 318-6","37.521286","126.868801","양천구","신정6동 동문비젼오피스텔 앞","불법주정차구역"
"서울 양천구 신정2동 296-93","37.519744","126.872594","양천구","신정2동 리더스빌딩 앞","불법주정차구역"
"서울 양천구 목4동 739-1","37.539261","126.866087","양천구","목4동 보미리즌빌 앞","불법주정차구역"
"서울 양천구 목1동 404-108","37.523199","126.877113","양천구","목1동 목동센트럴푸르지오 앞","불법주정차구역"
"서울 중랑구 신내동 667","37.60683","127.0953","중랑구","중랑구청 사거리 1001안경","불법주정차구역"
"서울 중랑구 중화동 303-1","37.60152","127.07941","중랑구","중화역 파리바게뜨","불법주정차구역"
"서울 양천구 신정3동 1284-1","37.512463","126.837147","양천구","신정3동 지향초등학교 앞","불법주정차구역"
"서울 양천구 신정2동 86-1","37.524543","126.838315","양천구","신정2동 삼성쉐르빌 앞 사거리","불법주정차구역"
"서울 양천구 신정3동 1268","37.512658","126.856328","양천구","신정3동 목동메디컬복합센터","불법주정차구역"
"서울 양천구 신정동 329","37.51498","126.872328","양천구","목동신시가지 14단지 앞 삼거리","불법주정차구역"
