CustomerID,Recency,Frequency,MonetaryValue,R,F,M,RFM_segment,RFM_score,RFM_class
12346.0,326,1,77183.6,1,1,5,115,7,silver
12347.0,2,182,4310.0,5,5,5,555,15,platinum
12348.0,75,31,1797.24,2,3,4,234,9,gold
12349.0,19,73,1757.55,4,4,4,444,12,platinum
12350.0,310,17,334.4,1,2,2,122,5,silver
12352.0,36,85,2506.04,3,4,5,345,12,platinum
12353.0,204,4,89.0,1,1,1,111,3,silver
12354.0,232,58,1079.4,1,4,4,144,9,gold
12355.0,214,13,459.4,1,1,2,112,4,silver
12356.0,23,59,2811.43,4,4,5,445,13,platinum
12357.0,33,131,6207.67,4,5,5,455,14,platinum
12358.0,2,19,1168.06,5,2,4,524,11,gold
12359.0,58,245,6310.03,3,5,5,355,13,platinum
12360.0,52,129,2662.06,3,5,5,355,13,platinum
12361.0,287,10,189.9,1,1,1,111,3,silver
12362.0,3,266,5226.23,5,5,5,555,15,platinum
12363.0,110,23,552.0,2,2,3,223,7,silver
12364.0,8,85,1313.1,5,4,4,544,13,platinum
12365.0,291,22,641.38,1,2,3,123,6,silver
12367.0,4,11,168.9,5,1,1,511,7,silver
12370.0,51,166,3541.94,3,5,5,355,13,platinum
12371.0,45,63,1887.96,3,4,4,344,11,gold
12372.0,72,52,1298.04,3,3,4,334,10,gold
12373.0,311,14,364.6,1,1,2,112,4,silver
12374.0,25,33,742.9300000000001,4,3,3,433,10,gold
12375.0,11,17,457.5,5,2,2,522,9,gold
12377.0,315,77,1628.12,1,4,4,144,9,gold
12378.0,130,219,4008.62,2,5,5,255,12,platinum
12379.0,82,40,852.24,2,3,3,233,8,gold
12380.0,22,104,2724.81,4,4,5,445,13,platinum
12381.0,5,87,1845.31,5,4,4,544,13,platinum
12383.0,185,99,1850.56,1,4,4,144,9,gold
12384.0,29,27,585.27,4,2,3,423,9,gold
12386.0,338,10,401.9,1,1,2,112,4,silver
12388.0,16,100,2780.66,4,4,5,445,13,platinum
12390.0,80,32,549.84,2,3,3,233,8,gold
12391.0,22,93,439.66,4,4,2,442,10,gold
12393.0,72,64,1582.6000000000001,3,4,4,344,11,gold
12394.0,64,27,1272.48,3,2,4,324,9,gold
12395.0,19,156,3018.63,4,5,5,455,14,platinum
12397.0,36,126,2409.9,3,5,5,355,13,platinum
12398.0,46,85,1635.6599999999999,3,4,4,344,11,gold
12399.0,119,59,1108.65,2,4,4,244,10,gold
12401.0,303,5,84.3,1,1,1,111,3,silver
12402.0,323,11,225.6,1,1,1,111,3,silver
12403.0,50,5,427.7,3,1,2,312,6,silver
12405.0,149,54,1710.39,2,3,4,234,9,gold
12406.0,22,105,3415.3,4,4,5,445,13,platinum
12407.0,50,77,1708.1200000000001,3,4,4,344,11,gold
12408.0,33,105,2888.55,4,4,5,445,13,platinum
12409.0,79,109,11072.67,2,4,5,245,11,gold
12410.0,309,26,693.3299999999999,1,2,3,123,6,silver
12412.0,75,61,1226.88,2,4,4,244,10,gold
12413.0,67,38,758.1,3,3,3,333,9,gold
12414.0,217,18,562.41,1,2,3,123,6,silver
12415.0,24,714,124914.53,4,5,5,455,14,platinum
12417.0,3,192,3649.1,5,5,5,555,15,platinum
12418.0,113,34,668.58,2,3,3,233,8,gold
12420.0,64,29,600.39,3,2,3,323,8,gold
12421.0,16,45,807.04,4,3,3,433,10,gold
12422.0,96,39,803.5600000000001,2,3,3,233,8,gold
12423.0,1,125,1859.31,5,5,4,554,14,platinum
12424.0,163,30,1760.96,2,3,4,234,9,gold
12425.0,78,36,777.2,2,3,3,233,8,gold
12426.0,195,30,582.73,1,3,3,133,7,silver
12427.0,22,31,825.8,4,3,3,433,10,gold
12428.0,26,294,7956.46,4,5,5,455,14,platinum
12429.0,9,97,3750.4,5,4,5,545,14,platinum
12430.0,43,11,256.4,3,1,2,312,6,silver
12431.0,36,234,6419.95,3,5,5,355,13,platinum
12432.0,43,108,5059.32,3,4,5,345,12,platinum
12433.0,1,420,13375.87,5,5,5,555,15,platinum
12434.0,85,50,806.14,2,3,3,233,8,gold
12435.0,80,36,7829.89,2,3,5,235,10,gold
12436.0,100,16,509.01,2,2,3,223,7,silver
12437.0,2,199,4951.41,5,5,5,555,15,platinum
12438.0,14,98,2906.85,5,4,5,545,14,platinum
12441.0,367,11,173.55,1,1,1,111,3,silver
12442.0,3,12,172.06,5,1,1,511,7,silver
12444.0,21,176,5005.46,4,5,5,455,14,platinum
12445.0,22,4,133.4,4,1,1,411,6,silver
12446.0,58,57,1002.3100000000001,3,3,4,334,10,gold
12447.0,243,26,476.49,1,2,2,122,5,silver
12448.0,44,22,449.45,3,2,2,322,7,silver
12449.0,22,191,4067.29,4,5,5,455,14,platinum
12450.0,156,8,197.88,2,1,1,211,4,silver
12451.0,11,354,9035.52,5,5,5,555,15,platinum
12452.0,17,22,430.57,4,2,2,422,8,gold
12453.0,134,43,707.09,2,3,3,233,8,gold
12454.0,56,15,3528.34,3,2,5,325,10,gold
12455.0,73,90,2466.86,2,4,5,245,11,gold
12456.0,44,125,3181.04,3,5,5,355,13,platinum
12457.0,66,62,2363.23,3,4,5,345,12,platinum
12458.0,71,38,947.4,3,3,4,334,10,gold
12461.0,94,35,826.88,2,3,3,233,8,gold
12462.0,19,62,1189.59,4,4,4,444,12,platinum
12463.0,53,83,1344.78,3,4,4,344,11,gold
12464.0,10,29,1212.05,5,2,4,524,11,gold
12465.0,17,47,742.1899999999999,4,3,3,433,10,gold
12468.0,188,38,729.5400000000001,1,3,3,133,7,silver
12471.0,2,459,19788.65,5,5,5,555,15,platinum
12472.0,32,339,6572.11,4,5,5,455,14,platinum
