번호,병원/약국명,병원/약국구분,전화번호,우편번호,소재지주소,홈페이지
1,(사)누가선교회 누가플러스치과의원,치과의원,02-6403-7528,07213,"서울특별시 영등포구 양평로 67 2층 (당산동5가, 한강포스빌)",
2,(사)인구보건복지협회전북지회가족치과의원,치과의원,240-2331,54916,전라북도 전주시 덕진구 백제대로 720 (인후동2가),
3,(사)한국건강관리협회 건강치과의원,치과의원,063-259-8896,54893,"전라북도 전주시 덕진구 사평로 40 5층 (덕진동1가, 건강검진센터)",
4,(사)한국건강관리협회건강증진치과의원,치과의원,031-250-5800,16309,경기도 수원시 장안구 경수대로 857 2층 (조원동),http://gg.kahp.or.kr
5,(사단법인) 한국건강관리협회건강증진치과의원,치과의원,062-363-4040,61931,광주광역시 서구 대남대로 432 3층 (농성동),
6,(의)나사렛의료재단 나사렛국제병원,종합병원,032-899-9999,00000,인천광역시 연수구 먼우금로 98-   (동춘동),http://www.nasaret.co.kr/
7,(의)미래의료재단미래치과의원,치과의원,02-540-0001,06169,"서울특별시 강남구 테헤란로 513 (삼성동, 지하1층일부)",
8,(의)삼성의료재단 강북삼성화성치과의원,치과의원,031-208-5996,18448,"경기도 화성시 삼성전자로 1 (반월동, 삼성전자내복지동)",
9,(의)영님의료재단 개금중앙요양병원,요양병원,051-582-7001,47268,"부산광역시 부산진구 개금온정로 5 지하1,지상3층 (개금동, 성원상떼뷰)",http://www.개금중앙요양병원.kr/
10,(재)예수의꽃동네유지재단 인곡자애병원,병원,043-879-0301,27732,충청북도 음성군 맹동면 꽃동네길 37-0 (),
11,(주)하나은행부속치과의원,치과의원,2002-2147,04523,"서울특별시 중구 을지로 35 8층 (을지로1가, 하나은행)",
12,100세 치과의원,치과의원,031-544-2282,11175,경기도 포천시 소흘읍 솔모루로 79 3층,
13,100세 플란트치과의원,치과의원,031-608-7575,13153,경기도 성남시 중원구 은이로5번길 1 건영빌딩 7층 (은행동),
14,100세치과의원,치과의원,063-323-2875,55540,전라북도 무주군 안성면 안성로 288 288,
15,100플란트치과의원,치과의원,042-626-2879,34406,대전광역시 대덕구 동춘당로 175 4층 (법동),
