ÁöÁ¡,ÁöÁ¡¸í,ÀÏ½Ã,±â¿Â(¡ÆC),±â¿Â QCÇÃ·¡±×,°­¼ö·®(mm),°­¼ö·® QCÇÃ·¡±×,Ç³¼Ó(m/s),Ç³¼Ó QCÇÃ·¡±×,Ç³Çâ(16¹æÀ§),Ç³Çâ QCÇÃ·¡±×,½Àµµ(%),½Àµµ QCÇÃ·¡±×,Áõ±â¾Ð(hPa),ÀÌ½½Á¡¿Âµµ(¡ÆC),ÇöÁö±â¾Ð(hPa),ÇöÁö±â¾Ð QCÇÃ·¡±×,ÇØ¸é±â¾Ð(hPa),ÇØ¸é±â¾Ð QCÇÃ·¡±×,ÀÏÁ¶(hr),ÀÏÁ¶ QCÇÃ·¡±×,ÀÏ»ç(MJ/m2),ÀÏ»ç QCÇÃ·¡±×,Àû¼³(cm),3½Ã°£½ÅÀû¼³(cm),Àü¿î·®(10ºÐÀ§),ÁßÇÏÃþ¿î·®(10ºÐÀ§),¿îÇü(¿îÇü¾à¾î),ÃÖÀú¿î°í(100m ),½ÃÁ¤(10m),Áö¸é»óÅÂ(Áö¸é»óÅÂÄÚµå),Çö»ó¹øÈ£(±¹³»½Ä),Áö¸é¿Âµµ(¡ÆC),Áö¸é¿Âµµ QCÇÃ·¡±×,5cm ÁöÁß¿Âµµ(¡ÆC),10cm ÁöÁß¿Âµµ(¡ÆC),20cm ÁöÁß¿Âµµ(¡ÆC),30cm ÁöÁß¿Âµµ(¡ÆC)
105,°­¸ª,2016-01-01 01:00,2.9,0,,,4.3,0,290,0,36,0,2.7,-10.7,1026.6,0,1029.9,0,,9,,9,,,,,,,2000,,,1.7,0,2.5,2.5,4.6,5.2
105,°­¸ª,2016-01-01 02:00,2.6,0,,,4.6,0,290,0,35,0,2.6,-11.3,1026.2,0,1029.5,0,,9,,9,,,,,,,2000,,,1.3,0,2.4,2.3,4.6,5.2
105,°­¸ª,2016-01-01 03:00,2.3,0,,,3.7,0,290,0,34,0,2.5,-11.9,1026.2,0,1029.5,0,,9,,9,,,,,,,2000,,,1,0,2.2,2,4.5,5.2
105,°­¸ª,2016-01-01 04:00,2.5,0,,,4.5,0,290,0,33,0,2.4,-12.1,1026.6,0,1029.9,0,,9,,9,,,,,,,2000,,,1.3,0,2,1.8,4.4,5.2
105,°­¸ª,2016-01-01 05:00,2.6,0,,,4.3,0,320,0,30,0,2.2,-13.2,1026.1,0,1029.4,0,,9,,9,,,,,,,2000,,,1.4,0,2,1.8,4.4,5.2
105,°­¸ª,2016-01-01 06:00,2.3,0,,,3.4,0,290,0,32,0,2.3,-12.7,1026.4,0,1029.7,0,,9,,9,,,,,,,2000,,,1,0,1.8,1.7,4.3,5.1
105,°­¸ª,2016-01-01 07:00,2.5,0,,,5.4,0,290,0,31,0,2.3,-12.9,1026.5,0,1029.8,0,,9,,9,,,,,,,2000,,,1.4,0,1.8,1.6,4.3,5.1
105,°­¸ª,2016-01-01 08:00,2.5,0,,,5,0,290,0,30,0,2.2,-13.3,1026.8,0,1030.1,0,.1,0,.01,0,,,,,,,2000,,,1.6,0,1.7,1.5,4.2,5.1
105,°­¸ª,2016-01-01 09:00,3.6,0,,,3.7,0,290,0,29,0,2.3,-12.8,1026.6,0,1029.9,0,1,0,.38,0,,,,,,,2000,,,4.3,0,1.7,1.5,4.2,5.1
105,°­¸ª,2016-01-01 10:00,5.1,0,,,4.3,0,290,0,26,0,2.3,-12.8,1026.7,0,1030,0,1,0,.99,0,,,,,,,2000,,,9.1,0,1.9,1.7,4.1,5.1
105,°­¸ª,2016-01-01 11:00,7,0,,,4.7,0,290,0,21,0,2.1,-13.8,1026.2,0,1029.4,0,1,0,1.52,0,,,,,,,2000,,,12,0,2.7,2.1,4.1,5.1
105,°­¸ª,2016-01-01 12:00,7.7,0,,,5.3,0,320,0,22,0,2.3,-12.7,1025.1,0,1028.3,0,1,0,1.83,0,,,,,,,2000,,,12.6,0,3.7,3.1,4,5
105,°­¸ª,2016-01-01 13:00,8.4,0,,,5.3,0,290,0,25,0,2.8,-10.5,1023.7,0,1026.9,0,1,0,1.91,0,,,,,,,2000,,,13.8,0,4.7,4.3,4.1,5
105,°­¸ª,2016-01-01 14:00,8.3,0,,,5.8,0,290,0,27,0,3,-9.6,1022.7,0,1025.9,0,1,0,1.75,0,,,,,,,2000,,,12.6,0,5.3,5.3,4.1,5
105,°­¸ª,2016-01-01 15:00,8.7,0,,,4.4,0,290,0,26,0,2.9,-9.7,1022.5,0,1025.7,0,1,0,1.4,0,,,,,,,2000,,,9.8,0,5.6,5.7,4.3,5
105,°­¸ª,2016-01-01 16:00,7.7,0,,,5.2,0,290,0,28,0,2.9,-9.7,1022.5,0,1025.7,0,1,0,.88,0,,,,,,,2000,,,10.5,0,5.7,5.7,4.5,5
105,°­¸ª,2016-01-01 17:00,5.8,0,,,5.2,0,290,0,33,0,3,-9.2,1022.9,0,1026.2,0,.7,0,.25,0,,,,,,,2000,,,5.2,0,5.3,5.3,4.6,5
105,°­¸ª,2016-01-01 18:00,5.5,0,,,5.3,0,320,0,32,0,2.9,-9.9,1022.4,0,1025.7,0,0,0,0,0,,,,,,,2000,,,4.8,0,4.9,4.9,4.7,5.1
105,°­¸ª,2016-01-01 19:00,4.8,0,,,5.5,0,320,0,37,0,3.2,-8.6,1022.9,0,1026.2,0,,9,,9,,,,,,,2000,,,4.2,0,4.5,4.5,4.8,5.1
105,°­¸ª,2016-01-01 20:00,4.5,0,,,9.3,0,290,0,42,0,3.5,-7.3,1022.3,0,1025.6,0,,9,,9,,,,,,,2000,,,4.1,0,4.2,4.2,4.9,5.1
