지점,지점명,일시,기온(°C),기온 QC플래그,강수량(mm),강수량 QC플래그,풍속(m/s),풍속 QC플래그,풍향(16방위),풍향 QC플래그,습도(%),습도 QC플래그,증기압(hPa),이슬점온도(°C),현지기압(hPa),현지기압 QC플래그,해면기압(hPa),해면기압 QC플래그,일조(hr),일조 QC플래그,일사(MJ/m2),일사 QC플래그,적설(cm),3시간신적설(cm),전운량(10분위),중하층운량(10분위),운형(운형약어),최저운고(100m ),시정(10m),지면상태(지면상태코드),현상번호(국내식),지면온도(°C),지면온도 QC플래그,5cm 지중온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),30cm 지중온도(°C)
108,서울,2018-01-01 01:00,-3.3,0,,,.7,0,360,0,41,0,2,-14.7,1015.1,0,1026.1,0,,9,,9,,,,0,,,2000,,,-2.7,0,-.1,.3,.9,1.5
108,서울,2018-01-01 02:00,-3.7,0,,,.9,0,270,0,42,0,2,-14.7,1015.2,0,1026.3,0,,9,,9,,,,0,,,2000,,,-3,0,-.2,.3,.9,1.6
108,서울,2018-01-01 03:00,-4,0,,,1,0,290,0,44,0,2,-14.4,1015.5,0,1026.6,0,,9,,9,,,0,0,,,2000,,,-3.5,0,-.2,.3,1,1.5
108,서울,2018-01-01 04:00,-4.2,0,,,1.1,0,290,0,53,0,2.4,-12.3,1015.5,0,1026.6,0,,9,,9,,,0,0,,,1994,,,-3.8,0,-.3,.3,.9,1.6
108,서울,2018-01-01 05:00,-4.4,0,,,.8,0,290,0,54,0,2.4,-12.3,1015.7,0,1026.8,0,,9,,9,,,0,0,,,1786,,,-4.2,0,-.5,.2,1,1.6
108,서울,2018-01-01 06:00,-4.5,0,,,1.1,0,320,0,51,0,2.2,-13.1,1015.8,0,1026.9,0,,9,,9,,,0,0,,,2000,,,-4.4,0,-.7,.3,1,1.6
108,서울,2018-01-01 07:00,-4.7,0,,,1.1,0,290,0,56,0,2.4,-12.1,1016.1,0,1027.2,0,,9,,9,,,0,0,,,2000,,,-4.7,0,-.8,.2,.9,1.6
108,서울,2018-01-01 08:00,-5,0,,,1,0,290,0,55,0,2.3,-12.6,1016.5,0,1027.6,0,0,0,0,0,,,0,0,,,2000,,,-4.9,0,-1,.2,1,1.6
108,서울,2018-01-01 09:00,-4.3,0,,,.7,0,290,0,39,0,1.7,-16.2,1017,0,1028.1,0,.6,0,.15,0,,,0,0,,,1973,,,-3.6,0,-.7,.3,1,1.6
108,서울,2018-01-01 10:00,-1.6,0,,,.8,0,270,0,32,0,1.7,-16.1,1017.7,0,1028.7,0,1,0,.53,0,,,0,0,,,1766,,,-.8,0,-.1,.3,1,1.6
108,서울,2018-01-01 11:00,.1,0,,,2.2,0,320,0,27,0,1.7,-16.7,1018.1,0,1029,0,1,0,.84,0,,,1,1,Ac,35,1874,,,0,0,0,.3,1,1.6
108,서울,2018-01-01 12:00,1.5,0,,,2.8,0,290,0,20,0,1.4,-19,1017.6,0,1028.5,0,1,0,1.03,0,,,1,0,Ci,,1992,,,.3,0,.1,.3,1,1.6
108,서울,2018-01-01 13:00,2.4,0,,,2.3,0,290,0,22,0,1.6,-17.2,1016.7,0,1027.5,0,1,0,1.1,0,,,0,0,,,1921,,,1.2,0,.2,.3,1,1.6
108,서울,2018-01-01 14:00,3.7,0,,,2.1,0,230,0,24,0,1.9,-15,1016.4,0,1027.2,0,1,0,1.01,0,,,6,2,ScAc,17,1906,,,1.4,0,.4,.3,1,1.6
108,서울,2018-01-01 15:00,3,0,,,2.9,0,320,0,27,0,2,-14.2,1016.1,0,1026.9,0,1,0,.78,0,,,7,7,Sc,14,1715,,,1.4,0,.3,.3,1,1.6
108,서울,2018-01-01 16:00,3,0,,,2.5,0,230,0,28,0,2.1,-13.7,1016.5,0,1027.3,0,.9,0,.51,0,,,6,6,Sc,15,1864,,,0,0,.3,.3,1,1.6
108,서울,2018-01-01 17:00,1.8,0,,,3.3,0,270,0,33,0,2.3,-12.8,1016.6,0,1027.4,0,.8,0,.18,0,,,0,0,,,1913,,,0,0,.1,.3,1,1.6
108,서울,2018-01-01 18:00,.8,0,,,1.9,0,270,0,34,0,2.2,-13.3,1017.1,0,1028,0,0,0,.01,0,,,0,0,,,1887,,,-.4,0,.1,.3,1,1.6
108,서울,2018-01-01 19:00,-.1,0,,,1.3,0,290,0,39,0,2.4,-12.4,1017.3,0,1028.2,0,,9,,9,,,,0,,,1911,,,-.7,0,0,.3,1,1.6
108,서울,2018-01-01 20:00,-.3,0,,,1.2,0,320,0,40,0,2.4,-12.2,1017.4,0,1028.3,0,,9,,9,,,,0,,,1936,,,-.8,0,0,.3,1,1.6
108,서울,2018-01-01 21:00,-.9,0,,,1.2,0,320,0,44,0,2.5,-11.6,1017.5,0,1028.5,0,,9,,9,,,0,0,,,1871,,,-1.2,0,0,.3,1,1.6
108,서울,2018-01-01 22:00,-1.3,0,,,.8,0,320,0,48,0,2.7,-10.9,1017.6,0,1028.6,0,,9,,9,,,,0,,,1927,,,-1.8,0,0,.3,1,1.6
108,서울,2018-01-01 23:00,-1.6,0,,,.7,0,320,0,51,0,2.8,-10.4,1017.6,0,1028.6,0,,9,,9,,,,0,,,1882,,,-2.3,0,-.1,.3,1,1.6
108,서울,2018-01-02 00:00,-1.8,0,,,1.1,0,290,0,54,0,2.9,-9.8,1017.8,0,1028.8,0,,9,,9,,,0,0,,,1772,,,-2.6,0,-.2,.3,1,1.6
108,서울,2018-01-02 01:00,-2.1,0,,,.8,0,290,0,56,0,2.9,-9.7,1017.7,0,1028.7,0,,9,,9,,,,0,,,1732,,,-3,0,-.2,.3,1,1.6
108,서울,2018-01-02 02:00,-2.3,0,,,.9,0,20,0,62,0,3.2,-8.6,1017.7,0,1028.7,0,,9,,9,,,,0,,,1560,,,-3.3,0,-.3,.2,1,1.6
108,서울,2018-01-02 03:00,-2.5,0,,,.4,0,0,0,62,0,3.2,-8.7,1017.9,0,1028.9,0,,9,,9,,,0,0,,,1626,,,-3.7,0,-.5,.3,1,1.6
108,서울,2018-01-02 04:00,-2.7,0,,,.5,0,20,0,67,0,3.4,-7.9,1017.5,0,1028.5,0,,9,,9,,,0,0,,,1302,,,-3.9,0,-.7,.3,1,1.6
108,서울,2018-01-02 05:00,-3.1,0,,,.6,0,20,0,67,0,3.3,-8.3,1017.4,0,1028.5,0,,9,,9,,,0,0,,,1384,,,-4.1,0,-.8,.2,1,1.5
108,서울,2018-01-02 06:00,-3.2,0,,,.4,0,0,0,67,0,3.2,-8.4,1017.8,0,1028.9,0,,9,,9,,,0,0,,,1409,,,-4.3,0,-.9,.2,1,1.6
108,서울,2018-01-02 07:00,-3.2,0,,,.5,0,20,0,69,0,3.3,-8,1018.1,0,1029.2,0,,9,,9,,,0,0,,,1249,,,-4.3,0,-1,.2,1,1.6
108,서울,2018-01-02 08:00,-3.4,0,,,.8,0,360,0,71,0,3.4,-7.9,1018.2,0,1029.3,0,0,0,0,0,,,0,0,,,1179,,,-4.4,0,-1.1,.1,1,1.6
108,서울,2018-01-02 09:00,-3.1,0,,,.2,0,0,0,66,0,3.2,-8.5,1018.5,0,1029.6,0,0,0,.12,0,,,0,0,,,1168,,,-3.1,0,-.8,.2,1,1.6
108,서울,2018-01-02 10:00,-1.4,0,,,1.9,0,290,0,50,0,2.8,-10.5,1018.9,0,1029.9,0,1,0,.38,0,,,0,0,,,1355,,,-.9,0,-.3,.2,1,1.6
108,서울,2018-01-02 11:00,-.4,0,,,2.3,0,290,0,40,0,2.4,-12.3,1019.1,0,1030.1,0,1,0,.66,0,,,0,0,,,1633,,,-.1,0,-.1,.2,1,1.5
108,서울,2018-01-02 12:00,.9,0,,,1.9,0,270,0,29,0,1.9,-15.1,1018.5,0,1029.4,0,1,0,.88,0,,,0,0,,,1761,,,.1,0,0,.2,1,1.6
108,서울,2018-01-02 13:00,1.5,0,,,3.6,0,290,0,23,0,1.6,-17.4,1017.7,0,1028.6,0,1,0,.95,0,,,0,0,,,1970,,,.9,0,.1,.2,1,1.6
108,서울,2018-01-02 14:00,1.7,0,,,4.4,0,290,0,20,0,1.4,-18.9,1017.4,0,1028.3,0,1,0,.91,0,,,0,0,,,1995,,,1,0,.2,.3,1,1.6
108,서울,2018-01-02 15:00,1.5,0,,,3,0,290,0,22,0,1.5,-17.9,1017,0,1027.9,0,1,0,.76,0,,,4,0,Ci,,1998,,,.6,0,.1,.3,1,1.6
108,서울,2018-01-02 16:00,1.3,0,,,2.9,0,290,0,23,0,1.5,-17.6,1017.2,0,1028.1,0,1,0,.51,0,,,0,0,,,2000,,,0,0,.2,.3,1,1.6
108,서울,2018-01-02 17:00,.3,0,,,2.6,0,270,0,27,0,1.7,-16.5,1017.5,0,1028.4,0,.9,0,.18,0,,,0,0,,,2000,,,-.2,0,.1,.2,1,1.6
108,서울,2018-01-02 18:00,-.8,0,,,2.3,0,270,0,24,0,1.4,-18.9,1018.5,0,1029.5,0,0,0,.01,0,,,3,0,Ci,,2000,,,-.9,0,0,.2,1,1.6
108,서울,2018-01-02 19:00,-1.3,0,,,2.4,0,290,0,28,0,1.6,-17.5,1017.9,0,1028.9,0,,9,,9,,,,0,,,2000,,,-1.4,0,0,.2,1,1.6
