지점,지점명,일시,기온(°C),기온 QC플래그,강수량(mm),강수량 QC플래그,풍속(m/s),풍속 QC플래그,풍향(16방위),풍향 QC플래그,습도(%),습도 QC플래그,증기압(hPa),이슬점온도(°C),현지기압(hPa),현지기압 QC플래그,해면기압(hPa),해면기압 QC플래그,일조(hr),일조 QC플래그,일사(MJ/m2),일사 QC플래그,적설(cm),3시간신적설(cm),전운량(10분위),중하층운량(10분위),운형(운형약어),최저운고(100m ),시정(10m),지면상태(지면상태코드),현상번호(국내식),지면온도(°C),지면온도 QC플래그,5cm 지중온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),30cm 지중온도(°C)
108,서울,2013-01-01 00:00,-8.3,0,,,3.6,0,50,0,56,0,1.8,-15.5,1010.3,0,1021.5,0,,9,,9,6.4,,3,3,Sc,10,2000,,,-3.3,0,-2.9,-1.6,-.5,.3
108,서울,2013-01-01 01:00,-8.5,0,,,4,0,50,0,57,0,1.8,-15.5,1010,0,1021.2,0,,9,,9,6.4,,,,,,,,,-3.4,0,-2.9,-1.6,-.5,.3
108,서울,2013-01-01 02:00,-8.4,0,,,4,0,70,0,60,0,2,-14.7,1009.4,0,1020.6,0,,9,,9,6.4,,,,,,,,,-3.4,0,-3,-1.6,-.5,.4
108,서울,2013-01-01 03:00,-8.1,0,,,3.4,0,70,0,58,0,1.9,-14.9,1009.2,0,1020.4,0,,9,,9,6.4,,6,6,Ac,35,2000,13,,-3.4,0,-3,-1.6,-.5,.3
108,서울,2013-01-01 04:00,-8.2,0,,,3.8,0,70,0,58,0,1.9,-15,1008.2,0,1019.4,0,,9,,9,6.4,,6,6,Ac,35,2000,,,-3.4,0,-2.9,-1.7,-.5,.3
108,서울,2013-01-01 05:00,-8.2,0,,9,4.4,0,70,0,61,0,2,-14.4,1007.3,0,1018.5,0,,9,,9,6.4,,10,5,ScAs,10,1000,,05,-3.3,0,-2.9,-1.7,-.5,.3
108,서울,2013-01-01 06:00,-8.6,0,.2,0,4.8,0,70,0,81,0,2.6,-11.2,1006.5,0,1017.7,0,,9,,9,6.9,.5,10,8,StNs,7,200,,05,-3.1,0,-2.8,-1.7,-.5,.4
108,서울,2013-01-01 07:00,-8.3,0,,9,4.4,0,70,0,85,0,2.8,-10.3,1006,0,1017.2,0,,9,,9,8,,10,8,StNs,7,80,,05,-3,0,-2.6,-1.6,-.5,.4
108,서울,2013-01-01 08:00,-7.9,0,,9,4.5,0,70,0,84,0,2.8,-10.1,1006.1,0,1017.2,0,0,0,0,0,9.2,,10,8,ScAs,9,1000,,05,-2.8,0,-2.5,-1.6,-.5,.3
108,서울,2013-01-01 09:00,-7,0,1.2,0,3.7,0,70,0,81,0,2.9,-9.7,1006,0,1017.1,0,0,0,.05,0,9.2,2.3,10,7,ScAs,10,1300,13,05,-2.5,0,-2.2,-1.5,-.5,.3
108,서울,2013-01-01 10:00,-5.5,0,,9,2.9,0,70,0,74,0,3,-9.4,1006.4,0,1017.4,0,0,0,.36,0,9.2,,9,9,Sc,10,1500,,,-2.2,0,-2,-1.4,-.5,.3
108,서울,2013-01-01 11:00,-4.2,0,,9,2.6,0,70,0,71,0,3.2,-8.6,1006.7,0,1017.7,0,.4,0,.82,0,9.1,,9,9,Sc,9,1500,,05,-1.8,0,-1.6,-1.3,-.5,.3
108,서울,2013-01-01 12:00,-4.2,0,.7,0,1.6,0,70,0,83,0,3.7,-6.6,1006.7,0,1017.7,0,.1,0,.42,0,9.9,.9,9,9,Sc,9,800,,05,-1.5,0,-1.3,-1.2,-.5,.3
108,서울,2013-01-01 13:00,-1.9,0,,9,1.1,0,70,0,71,0,3.8,-6.4,1006.1,0,1017,0,1,0,1.37,0,9.7,,7,7,Sc,10,1000,,05,-1.2,0,-1,-1.1,-.4,.3
108,서울,2013-01-01 14:00,-.6,0,,9,4.5,0,290,0,65,0,3.8,-6.3,1006.6,0,1017.4,0,.6,0,1,0,9.6,,4,3,ScCi,10,1200,,,-.9,0,-.8,-1,-.4,.3
108,서울,2013-01-01 15:00,-.5,0,0,0,3.6,0,290,0,56,0,3.3,-8.2,1007,0,1017.8,0,1,0,1.02,0,9.5,0,4,3,ScCi,10,1500,13,,-.8,0,-.6,-.9,-.4,.3
108,서울,2013-01-01 16:00,-.6,0,,9,3,0,270,0,55,0,3.2,-8.5,1007.3,0,1018.1,0,1,0,.48,0,9.4,,4,2,ScCi,10,1800,,,-.7,0,-.5,-.9,-.4,.3
108,서울,2013-01-01 17:00,-1.1,0,,9,2.3,0,270,0,56,0,3.2,-8.7,1007.6,0,1018.5,0,.5,0,.23,0,9.4,,2,2,Sc,10,2000,,,-.7,0,-.5,-.7,-.3,.3
108,서울,2013-01-01 18:00,-1.7,0,,9,1.9,0,250,0,59,0,3.2,-8.6,1008,0,1018.9,0,0,0,.01,0,9.4,,7,7,Sc,10,2000,,,-.9,0,-.6,-.7,-.3,.3
108,서울,2013-01-01 19:00,-1.6,0,,9,2.3,0,200,0,60,0,3.3,-8.3,1007.7,0,1018.6,0,,9,,9,9.4,,,,,,,,,-1,0,-.8,-.7,-.3,.3
108,서울,2013-01-01 20:00,-2.5,0,,9,2.9,0,290,0,84,0,4.3,-4.8,1008.4,0,1019.3,0,,9,,9,9.7,,10,8,StNs,7,200,,05,-1,0,-.8,-.7,-.3,.3
108,서울,2013-01-01 21:00,-2.8,0,.7,0,2.4,0,230,0,87,0,4.3,-4.6,1007.9,0,1018.8,0,,9,,9,10.3,.9,10,8,StNs,7,90,13,05,-1,0,-.9,-.7,-.3,.3
108,서울,2013-01-01 22:00,-2.4,0,,9,2.4,0,200,0,89,0,4.6,-3.9,1007.5,0,1018.4,0,,9,,9,10.5,,10,7,StNs,8,400,,05,-.9,0,-.8,-.7,-.3,.3
108,서울,2013-01-01 23:00,-2.7,0,,9,4.4,0,290,0,87,0,4.4,-4.5,1008.2,0,1019.1,0,,9,,9,10.8,,10,8,StNs,7,70,,05,-.9,0,-.7,-.7,-.3,.3
108,서울,2013-01-02 00:00,-4.8,0,.3,0,2.2,0,340,0,83,0,3.6,-7.2,1009.7,0,1020.8,0,,9,,9,10.9,.6,10,7,ScAs,10,800,,05,-.8,0,-.7,-.7,-.3,.3
108,서울,2013-01-02 01:00,-6.5,0,,9,4.5,0,290,0,71,0,2.7,-10.8,1011.2,0,1022.3,0,,9,,9,10.9,,,,,,,,,-.9,0,-.7,-.6,-.3,.3
108,서울,2013-01-02 02:00,-7.8,0,,,5,0,290,0,53,0,1.8,-15.7,1012.5,0,1023.7,0,,9,,9,10.9,,,,,,,,,-1,0,-.8,-.6,-.2,.3
108,서울,2013-01-02 03:00,-8.8,0,,,6.4,0,270,0,31,0,1,-22.9,1013.8,0,1025.1,0,,9,,9,10.9,,2,2,Sc,10,2000,13,,-1.2,0,-1,-.6,-.2,.3
108,서울,2013-01-02 04:00,-10.1,0,,,3.2,0,270,0,34,0,1,-23,1014.9,0,1026.2,0,,9,,9,10.9,,0,0,,,2000,,,-1.4,0,-1.2,-.7,-.2,.3
108,서울,2013-01-02 05:00,-10.8,0,,,3,0,290,0,43,0,1.2,-20.9,1015.9,0,1027.3,0,,9,,9,10.9,,0,0,,,2000,,,-1.6,0,-1.4,-.7,-.2,.3
108,서울,2013-01-02 06:00,-11.9,0,,,4.5,0,270,0,46,0,1.1,-21.2,1016.8,0,1028.2,0,,9,,9,10.9,,0,0,,,2000,,,-1.8,0,-1.6,-.8,-.3,.3
108,서울,2013-01-02 07:00,-12.7,0,,,2.3,0,250,0,46,0,1.1,-21.9,1017.7,0,1029.2,0,,9,,9,10.9,,0,0,,,2000,,,-1.9,0,-1.8,-.8,-.3,.3
108,서울,2013-01-02 08:00,-13,0,,,1.2,0,320,0,44,0,1,-22.7,1018.3,0,1029.8,0,0,0,0,0,10.9,,0,0,,,2000,,,-2.1,0,-2,-.9,-.3,.3
108,서울,2013-01-02 09:00,-12.7,0,,,2.6,0,320,0,36,0,.8,-24.7,1019.1,0,1030.6,0,1,0,.26,0,10.9,,0,0,,,2000,13,,-2.2,0,-2.1,-1,-.3,.4
108,서울,2013-01-02 10:00,-11.8,0,,,3.2,0,290,0,35,0,.9,-24.2,1020.3,0,1031.8,0,1,0,.78,0,10.9,,0,0,,,2000,,,-2.2,0,-2,-1,-.3,.4
108,서울,2013-01-02 11:00,-11.8,0,,,5.6,0,290,0,38,0,.9,-23.2,1021.1,0,1032.6,0,1,0,1.23,0,10.8,,0,0,,,2000,,,-2.1,0,-1.8,-1,-.3,.4
108,서울,2013-01-02 12:00,-10.6,0,,,4,0,320,0,34,0,.9,-23.4,1020.7,0,1032.1,0,1,0,1.53,0,10.7,,0,0,,,2000,,,-1.8,0,-1.6,-1.1,-.3,.3
108,서울,2013-01-02 13:00,-10.7,0,,,7.4,0,320,0,33,0,.9,-23.8,1020.4,0,1031.8,0,1,0,1.65,0,10.5,,0,0,,,2000,,,-1.6,0,-1.2,-1,-.3,.4
108,서울,2013-01-02 14:00,-10.1,0,,,4.3,0,290,0,35,0,1,-22.6,1020.9,0,1032.3,0,1,0,1.6,0,10.4,,1,0,Ci,,2000,,,-1.3,0,-1.1,-.9,-.3,.4
108,서울,2013-01-02 15:00,-9.5,0,,,5.3,0,290,0,36,0,1.1,-21.8,1020.8,0,1032.2,0,1,0,1.32,0,10.2,,0,0,,,2000,13,,-1.2,0,-1,-.9,-.3,.4
108,서울,2013-01-02 16:00,-9.8,0,,,5,0,290,0,36,0,1,-22.1,1021.4,0,1032.8,0,1,0,.87,0,10.1,,0,0,,,2000,,,-1.3,0,-1.2,-.8,-.3,.4
108,서울,2013-01-02 17:00,-10.7,0,,,5.1,0,290,0,38,0,1,-22.2,1022,0,1033.4,0,1,0,.36,0,10.1,,0,0,,,2000,,,-1.6,0,-1.4,-.8,-.3,.3
108,서울,2013-01-02 18:00,-11.5,0,,,2.3,0,270,0,42,0,1.1,-21.8,1022.6,0,1034.1,0,.1,0,.02,0,10.1,,0,0,,,2000,,,-1.9,0,-1.8,-.9,-.3,.3
108,서울,2013-01-02 19:00,-12,0,,,2.5,0,270,0,44,0,1.1,-21.8,1023.2,0,1034.7,0,,9,,9,10.1,,,,,,,,,-2.2,0,-2.1,-1,-.3,.3
108,서울,2013-01-02 20:00,-12.7,0,,,1.8,0,340,0,48,0,1.1,-21.4,1023.7,0,1035.2,0,,9,,9,10.1,,,,,,,,,-2.5,0,-2.4,-1.1,-.3,.3
108,서울,2013-01-02 21:00,-13.2,0,,,2.5,0,340,0,49,0,1.1,-21.6,1024.1,0,1035.7,0,,9,,9,10.1,,0,0,,,2000,13,,-2.8,0,-2.8,-1.2,-.4,.3
108,서울,2013-01-02 22:00,-13.8,0,,,4.2,0,290,0,50,0,1.1,-22,1024.7,0,1036.3,0,,9,,9,10.1,,,,,,,,,-3,0,-3,-1.3,-.4,.3
108,서울,2013-01-02 23:00,-14.3,0,,,4.6,0,290,0,50,0,1,-22.4,1025.1,0,1036.7,0,,9,,9,10.1,,,,,,,,,-3.3,0,-3.2,-1.4,-.4,.3
108,서울,2013-01-03 00:00,-15.1,0,,,1.9,0,320,0,52,0,1,-22.7,1025.5,0,1037.2,0,,9,,9,10.1,,0,0,,,2000,,,-3.4,0,-3.3,-1.5,-.4,.3
108,서울,2013-01-03 01:00,-15.6,0,,,2.8,0,340,0,53,0,1,-23,1026.1,0,1037.8,0,,9,,9,10.1,,,,,,,,,-3.7,0,-3.5,-1.6,-.5,.3
108,서울,2013-01-03 02:00,-15.9,0,,,1.8,0,360,0,53,0,.9,-23.3,1026.7,0,1038.4,0,,9,,9,10.1,,,,,,,,,-3.8,0,-3.7,-1.7,-.5,.3
108,서울,2013-01-03 03:00,-16,0,,,1.5,0,360,0,50,0,.9,-24,1026.6,0,1038.3,0,,9,,9,10.1,,0,0,,,2000,13,,-4,0,-3.8,-1.9,-.5,.3
108,서울,2013-01-03 04:00,-16,0,,,2.9,0,340,0,48,0,.8,-24.5,1026.7,0,1038.4,0,,9,,9,10.1,,0,0,,,2000,,,-4.2,0,-4,-1.9,-.6,.3
108,서울,2013-01-03 05:00,-16.2,0,,,2.4,0,340,0,46,0,.8,-25.1,1026.7,0,1038.4,0,,9,,9,10.1,,0,0,,,2000,,,-4.3,0,-4.1,-2,-.6,.3
108,서울,2013-01-03 06:00,-16.3,0,,,1.4,0,340,0,49,0,.8,-24.5,1026.6,0,1038.3,0,,9,,9,10.1,,0,0,,,2000,,,-4.5,0,-4.2,-2.1,-.6,.3
108,서울,2013-01-03 07:00,-16.3,0,,,2.8,0,270,0,46,0,.8,-25.2,1027,0,1038.7,0,,9,,9,10.1,,0,0,,,2000,,,-4.6,0,-4.3,-2.2,-.6,.3
108,서울,2013-01-03 08:00,-16.1,0,,,2.8,0,290,0,46,0,.8,-25,1027.2,0,1038.9,0,0,0,0,0,10.1,,0,0,,,2000,,,-4.7,0,-4.4,-2.2,-.7,.2
108,서울,2013-01-03 09:00,-15.4,0,,,2.5,0,270,0,42,0,.8,-25.4,1027.5,0,1039.2,0,1,0,.27,0,10.1,,0,0,,,2000,13,,-4.6,0,-4.3,-2.2,-.7,.3
108,서울,2013-01-03 10:00,-13.9,0,,,3.9,0,270,0,37,0,.8,-25.4,1027.5,0,1039.1,0,1,0,.81,0,10.1,,0,0,,,2000,,,-4.3,0,-4,-2.2,-.6,.3
108,서울,2013-01-03 11:00,-12.9,0,,,3.8,0,290,0,33,0,.8,-25.8,1027.3,0,1038.9,0,1,0,1.27,0,10,,0,0,,,2000,,,-3.8,0,-3.4,-2.1,-.6,.3
108,서울,2013-01-03 12:00,-11.8,0,,,3.2,0,270,0,31,0,.8,-25.5,1026.8,0,1038.3,0,1,0,1.58,0,9.9,,0,0,,,2000,,,-3.3,0,-3,-2.1,-.7,.3
108,서울,2013-01-03 13:00,-11,0,,,3.6,0,290,0,32,0,.8,-24.5,1025.8,0,1037.3,0,1,0,1.66,0,9.8,,0,0,,,2000,,,-2.8,0,-2.5,-1.9,-.6,.3
108,서울,2013-01-03 14:00,-10.3,0,,,3.6,0,290,0,33,0,.9,-23.5,1025.1,0,1036.5,0,1,0,1.6,0,9.6,,0,0,,,2000,,,-2.5,0,-2.1,-1.7,-.6,.3
108,서울,2013-01-03 15:00,-9.7,0,,,3.5,0,320,0,32,0,.9,-23.3,1024.9,0,1036.3,0,1,0,1.32,0,9.4,,0,0,,,2000,13,,-2.3,0,-2,-1.6,-.6,.2
108,서울,2013-01-03 16:00,-9.8,0,,,3.5,0,320,0,35,0,1,-22.4,1024.9,0,1036.3,0,1,0,.88,0,9.2,,0,0,,,2000,,,-2.3,0,-2,-1.4,-.5,.3
108,서울,2013-01-03 17:00,-9.9,0,,,1.6,0,290,0,38,0,1.1,-21.5,1025.1,0,1036.5,0,1,0,.38,0,9.2,,0,0,,,2000,,,-2.5,0,-2.1,-1.4,-.5,.3
108,서울,2013-01-03 18:00,-10.7,0,,,2.9,0,320,0,42,0,1.1,-21.1,1025.3,0,1036.8,0,.1,0,.01,0,9.2,,0,0,,,2000,,,-2.8,0,-2.5,-1.4,-.5,.3
108,서울,2013-01-03 19:00,-11.3,0,,,3.8,0,290,0,42,0,1.1,-21.6,1025.4,0,1036.9,0,,9,,9,9.2,,,,,,,,,-3.2,0,-2.9,-1.5,-.5,.3
108,서울,2013-01-03 20:00,-11.9,0,,,3.3,0,320,0,44,0,1.1,-21.7,1025.4,0,1036.9,0,,9,,9,9.2,,,,,,,,,-3.5,0,-3.2,-1.6,-.5,.3
108,서울,2013-01-03 21:00,-12.5,0,,,2.3,0,340,0,46,0,1.1,-21.7,1025.4,0,1037,0,,9,,9,9.2,,0,0,,,2000,13,,-3.7,0,-3.4,-1.7,-.5,.3
108,서울,2013-01-03 22:00,-12.9,0,,,3.6,0,320,0,47,0,1.1,-21.8,1025.4,0,1037,0,,9,,9,9.2,,,,,,,,,-4,0,-3.7,-1.9,-.6,.2
108,서울,2013-01-03 23:00,-13.2,0,,,3,0,340,0,46,0,1,-22.4,1025.2,0,1036.8,0,,9,,9,9.2,,,,,,,,,-4.1,0,-3.8,-2,-.6,.2
108,서울,2013-01-04 00:00,-13.6,0,,,1,0,340,0,50,0,1.1,-21.8,1025.1,0,1036.7,0,,9,,9,9.2,,0,0,,,2000,,,-4.3,0,-3.9,-2,-.6,.2
108,서울,2013-01-04 01:00,-13.6,0,,,1,0,340,0,46,0,1,-22.7,1024.7,0,1036.3,0,,9,,9,9.2,,,,,,,,,-4.4,0,-4.1,-2.1,-.7,.3
108,서울,2013-01-04 02:00,-13.8,0,,,1.1,0,270,0,47,0,1,-22.7,1024.6,0,1036.2,0,,9,,9,9.2,,,,,,,,,-4.6,0,-4.2,-2.2,-.7,.2
108,서울,2013-01-04 03:00,-14.1,0,,,1.8,0,270,0,49,0,1,-22.5,1025.2,0,1036.8,0,,9,,9,9.2,,0,0,,,2000,13,,-4.7,0,-4.4,-2.2,-.7,.2
108,서울,2013-01-04 04:00,-14.2,0,,,1.5,0,270,0,50,0,1,-22.3,1024.8,0,1036.4,0,,9,,9,9.2,,0,0,,,2000,,,-4.8,0,-4.5,-2.3,-.7,.2
108,서울,2013-01-04 05:00,-14.3,0,,,.5,0,340,0,55,0,1.1,-21.3,1024.5,0,1036.1,0,,9,,9,9.2,,0,0,,,2000,,,-4.9,0,-4.6,-2.3,-.8,.2
108,서울,2013-01-04 06:00,-14.5,0,,,.6,0,340,0,56,0,1.1,-21.3,1024.3,0,1035.9,0,,9,,9,9.2,,0,0,,,2000,,,-5,0,-4.7,-2.4,-.8,.2
108,서울,2013-01-04 07:00,-14.7,0,,,2,0,20,0,59,0,1.2,-20.9,1023.8,0,1035.4,0,,9,,9,9.2,,0,0,,,2000,,,-5.2,0,-4.8,-2.5,-.8,.2
108,서울,2013-01-04 08:00,-14.8,0,,,2.8,0,20,0,58,0,1.1,-21.2,1023.5,0,1035.1,0,0,0,0,0,9.2,,0,0,,,2000,,,-5.3,0,-4.8,-2.5,-.9,.2
108,서울,2013-01-04 09:00,-13.8,0,,,2.6,0,20,0,54,0,1.1,-21.1,1023.3,0,1034.9,0,1,0,.26,0,9.2,,0,0,,,2000,13,,-5.1,0,-4.7,-2.5,-.8,.2
108,서울,2013-01-04 10:00,-11.8,0,,,1.7,0,20,0,45,0,1.1,-21.3,1023.5,0,1035,0,1,0,.76,0,9.2,,0,0,,,1800,,,-4.7,0,-4.3,-2.5,-.8,.2
108,서울,2013-01-04 11:00,-9.4,0,,,.6,0,200,0,32,0,1,-23,1022.9,0,1034.3,0,1,0,1.21,0,9.2,,0,0,,,1800,,,-4.1,0,-3.7,-2.4,-.8,.2
108,서울,2013-01-04 12:00,-7.6,0,,,1.4,0,250,0,28,0,1,-23,1021.6,0,1032.9,0,1,0,1.52,0,9,,0,0,,,1800,,,-3.3,0,-3,-2.2,-.8,.2
108,서울,2013-01-04 13:00,-6.4,0,,,2.6,0,200,0,34,0,1.3,-19.7,1020.5,0,1031.7,0,1,0,1.63,0,8.6,,0,0,,,2000,,,-2.6,0,-2.3,-2.1,-.8,.1
108,서울,2013-01-04 14:00,-6.3,0,,,2.5,0,270,0,29,0,1.1,-21.4,1019.7,0,1030.9,0,1,0,1.58,0,8.3,,0,0,,,2000,,,-2,0,-1.8,-1.8,-.7,.2
108,서울,2013-01-04 15:00,-6.5,0,,,4.1,0,230,0,33,0,1.2,-20.1,1019.5,0,1030.7,0,1,0,1.3,0,7.9,,0,0,,,2000,13,,-1.9,0,-1.6,-1.6,-.7,.1
108,서울,2013-01-04 16:00,-6.7,0,,,3.1,0,270,0,31,0,1.1,-21,1019.4,0,1030.6,0,1,0,.87,0,7.6,,0,0,,,2000,,,-1.8,0,-1.5,-1.4,-.6,.2
108,서울,2013-01-04 17:00,-7.7,0,,,3.6,0,290,0,33,0,1.1,-21.2,1019.6,0,1030.9,0,1,0,.39,0,7.5,,0,0,,,2000,,,-2,0,-1.8,-1.3,-.6,.2
108,서울,2013-01-04 18:00,-8.8,0,,,3.3,0,270,0,34,0,1.1,-21.8,1019.1,0,1030.4,0,.2,0,.02,0,7.5,,0,0,,,2000,,,-2.4,0,-2.1,-1.3,-.5,.2
