지점,지점명,일시,기온(°C),기온 QC플래그,강수량(mm),강수량 QC플래그,풍속(m/s),풍속 QC플래그,풍향(16방위),풍향 QC플래그,습도(%),습도 QC플래그,증기압(hPa),이슬점온도(°C),현지기압(hPa),현지기압 QC플래그,해면기압(hPa),해면기압 QC플래그,일조(hr),일조 QC플래그,일사(MJ/m2),일사 QC플래그,적설(cm),3시간신적설(cm),전운량(10분위),중하층운량(10분위),운형(운형약어),최저운고(100m ),시정(10m),지면상태(지면상태코드),현상번호(국내식),지면온도(°C),지면온도 QC플래그,5cm 지중온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),30cm 지중온도(°C)
119,수원,2018-01-01 01:00,-2.6,0,,,.9,0,270,0,46,0,2.3,-12.6,1022.1,0,1026.5,0,,9,,9,,,,0,,,2000,,,-1.1,0,,,,
119,수원,2018-01-01 02:00,-3,0,,,1.1,0,320,0,48,0,2.4,-12.4,1022.1,0,1026.5,0,,9,,9,,,,0,,,2000,,,-1.3,0,,,,
119,수원,2018-01-01 03:00,-4.2,0,,,.4,0,0,0,58,0,2.6,-11.2,1022.4,0,1026.8,0,,9,,9,,,0,0,,,2000,,,-1.5,0,,,,
119,수원,2018-01-01 04:00,-5.3,0,,,0,0,0,0,65,0,2.7,-10.8,1022.5,0,1026.9,0,,9,,9,,,0,0,,,2000,,,-1.8,0,,,,
119,수원,2018-01-01 05:00,-5.5,0,,,.6,0,270,0,69,0,2.8,-10.2,1022.6,0,1027,0,,9,,9,,,0,0,,,2000,,,-2.1,0,,,,
119,수원,2018-01-01 06:00,-6,0,,,.2,0,0,0,74,0,2.9,-9.8,1022.7,0,1027.1,0,,9,,9,,,0,0,,,1998,,,-2.4,0,,,,
119,수원,2018-01-01 07:00,-6.6,0,,,0,0,0,0,76,0,2.8,-10.1,1023.1,0,1027.6,0,,9,,9,,,0,0,,,1962,,,-2.6,0,,,,
119,수원,2018-01-01 08:00,-6.8,0,,,0,0,0,0,78,0,2.9,-9.9,1023.4,0,1027.9,0,0,0,0,0,,,0,0,,,1933,,,-2.8,0,,,,
119,수원,2018-01-01 09:00,-3.5,0,,,.5,0,160,0,71,0,3.3,-8,1023.9,0,1028.3,0,1,0,.22,0,,,0,0,,,1251,,,-2.3,0,,,,
119,수원,2018-01-01 10:00,-1.8,0,,,1.3,0,180,0,54,0,2.9,-9.8,1024.7,0,1029.1,0,1,0,.69,0,,,0,0,,,1633,,,-1.5,0,,,,
119,수원,2018-01-01 11:00,.4,0,,,1.4,0,200,0,48,0,3,-9.3,1025.1,0,1029.5,0,1,0,1.03,0,,,3,0,Ci,,1625,,,-.2,0,,,,
119,수원,2018-01-01 12:00,3.2,0,,,1.9,0,290,0,28,0,2.1,-13.6,1024.5,0,1028.8,0,1,0,1.31,0,,,0,0,,,1784,,,0,0,,,,
119,수원,2018-01-01 13:00,3.7,0,,,2.6,0,270,0,28,0,2.2,-13.1,1023.6,0,1027.9,0,1,0,1.34,0,,,7,2,ScCi,17,1804,,,0,0,,,,
119,수원,2018-01-01 14:00,3.1,0,,,2.5,0,250,0,31,0,2.4,-12.4,1023.3,0,1027.6,0,.8,0,1.02,0,,,7,4,ScAc,14,1839,,,0,0,,,,
119,수원,2018-01-01 15:00,3.3,0,,,3,0,250,0,33,0,2.6,-11.4,1023.1,0,1027.4,0,.8,0,.91,0,,,7,7,Sc,13,1787,,,.1,0,,,,
119,수원,2018-01-01 16:00,2.7,0,,,2.8,0,270,0,36,0,2.7,-10.9,1023.3,0,1027.6,0,1,0,.76,0,,,5,2,ScCi,10,1419,,,-.1,0,,,,
119,수원,2018-01-01 17:00,1.7,0,,,2.1,0,270,0,37,0,2.6,-11.4,1023.7,0,1028,0,.7,0,.27,0,,,0,0,,,1632,,,-.1,0,,,,
119,수원,2018-01-01 18:00,.7,0,,,1.5,0,270,0,44,0,2.8,-10.1,1024,0,1028.3,0,0,0,.01,0,,,0,0,,,1685,,,-.2,0,,,,
119,수원,2018-01-01 19:00,-1.5,0,,,.5,0,320,0,53,0,2.9,-9.8,1024.1,0,1028.5,0,,9,,9,,,,,,,1645,,,-.4,0,,,,
119,수원,2018-01-01 20:00,-2.3,0,,,0,0,0,0,61,0,3.1,-8.8,1024.4,0,1028.8,0,,9,,9,,,,0,,,1478,,,-.8,0,,,,
119,수원,2018-01-01 21:00,-2.8,0,,,0,0,0,0,66,0,3.3,-8.2,1024.4,0,1028.8,0,,9,,9,,,0,0,,,1356,,,-1.3,0,,,,
119,수원,2018-01-01 22:00,-3.4,0,,,0,0,0,0,71,0,3.4,-7.9,1024.7,0,1029.1,0,,9,,9,,,,0,,,1227,,,-1.7,0,,,,
119,수원,2018-01-01 23:00,-3.9,0,,,0,0,0,0,74,0,3.4,-7.8,1024.6,0,1029,0,,9,,9,,,,0,,,1120,,,-2,0,,,,
119,수원,2018-01-02 00:00,-4.3,0,,,.2,0,0,0,78,0,3.5,-7.5,1024.9,0,1029.3,0,,9,,9,,,0,0,,,986,,19,-2.2,0,,,,
119,수원,2018-01-02 01:00,-4.2,0,,,.6,0,180,0,77,0,3.5,-7.6,1024.8,0,1029.2,0,,9,,9,,,,0,,,906,,19,-2.4,0,,,,
119,수원,2018-01-02 02:00,-4.4,0,,,.4,0,0,0,83,0,3.7,-6.8,1024.7,0,1029.1,0,,9,,9,,,,0,,,771,,19,-2.6,0,,,,
119,수원,2018-01-02 03:00,-5.1,0,,,.4,0,0,0,89,0,3.7,-6.6,1024.9,0,1029.3,0,,9,,9,,,0,0,,,663,,19,-2.7,0,,,,
119,수원,2018-01-02 04:00,-5.4,0,,,0,0,0,0,90,0,3.7,-6.7,1024.5,0,1028.9,0,,9,,9,,,0,0,,,669,,19,-2.8,0,,,,
119,수원,2018-01-02 05:00,-5.3,0,,,.5,0,180,0,92,0,3.8,-6.4,1024.3,0,1028.7,0,,9,,9,,,0,0,,,644,,19,-2.9,0,,,,
119,수원,2018-01-02 06:00,-5.3,0,,,.2,0,0,0,94,0,3.9,-6.1,1024.7,0,1029.1,0,,9,,9,,,0,0,,,592,,19,-2.9,0,,,,
119,수원,2018-01-02 07:00,-5,0,,,.8,0,270,0,95,0,4,-5.6,1024.8,0,1029.2,0,,9,,9,,,0,0,,,591,,19,-2.9,0,,,,
119,수원,2018-01-02 08:00,-4.8,0,,,.5,0,360,0,95,0,4.1,-5.4,1025,0,1029.4,0,0,0,0,0,,,2,2,Sc,15,534,,19,-2.9,0,,,,
119,수원,2018-01-02 09:00,-2.8,0,,,.2,0,0,0,91,0,4.5,-4,1025.5,0,1029.9,0,0,0,.08,0,,,9,9,Sc,14,520,,19,-1.5,0,,,,
119,수원,2018-01-02 10:00,-.2,0,,,1.4,0,270,0,71,0,4.3,-4.8,1025.7,0,1030.1,0,.5,0,.42,0,,,0,0,,,767,,19,-.8,0,,,,
119,수원,2018-01-02 11:00,1.7,0,,,1.6,0,290,0,44,0,3,-9.2,1026,0,1030.3,0,1,0,.79,0,,,0,0,,,1680,,19,-.2,0,,,,
119,수원,2018-01-02 12:00,1.9,0,,,3,0,340,0,25,0,1.7,-16.1,1025.2,0,1029.5,0,1,0,1,0,,,0,0,,,1985,,,-.2,0,,,,
119,수원,2018-01-02 13:00,3.2,0,,,2.9,0,290,0,26,0,2,-14.5,1024.7,0,1029,0,1,0,1.06,0,,,7,0,Ci,,1960,,,-.1,0,,,,
119,수원,2018-01-02 14:00,2.4,0,,,2.9,0,290,0,26,0,1.9,-15.2,1024.2,0,1028.5,0,.3,0,.82,0,,,8,0,Ci,,1994,,,0,0,,,,
119,수원,2018-01-02 15:00,3,0,,,2.5,0,290,0,24,0,1.8,-15.6,1023.9,0,1028.2,0,.9,0,.88,0,,,6,0,Ci,,1978,,,0,0,,,,
119,수원,2018-01-02 16:00,1.6,0,,,2.5,0,290,0,26,0,1.8,-15.8,1024.1,0,1028.4,0,1,0,.58,0,,,0,0,,,2000,,,-.1,0,,,,
119,수원,2018-01-02 17:00,.7,0,,,2,0,290,0,31,0,2,-14.5,1024.6,0,1028.9,0,.3,0,.22,0,,,0,0,,,2000,,,-.2,0,,,,
119,수원,2018-01-02 18:00,-.5,0,,,2.3,0,270,0,35,0,2.1,-14.1,1025.5,0,1029.9,0,0,0,0,0,,,1,0,Ci,,1940,,,-.4,0,,,,
119,수원,2018-01-02 19:00,-1,0,,,1.2,0,290,0,39,0,2.2,-13.2,1024.6,0,1029,0,,9,,9,,,,4,,60,2000,,,-.9,0,,,,
119,수원,2018-01-02 20:00,-1,0,,,2.2,0,320,0,37,0,2.1,-13.8,1024.5,0,1028.9,0,,9,,9,,,,9,,57,2000,,,-1.2,0,,,,
119,수원,2018-01-02 21:00,-1.4,0,,,2.2,0,290,0,33,0,1.8,-15.6,1024,0,1028.4,0,,9,,9,,,8,0,Ci,,2000,,,-1.5,0,,,,
119,수원,2018-01-02 22:00,-1.8,0,,,2.4,0,290,0,33,0,1.8,-15.9,1024.7,0,1029.1,0,,9,,9,,,,6,,53,2000,,,-1.8,0,,,,
119,수원,2018-01-02 23:00,-2.7,0,,,3.7,0,290,0,33,0,1.7,-16.7,1025.5,0,1029.9,0,,9,,9,,,,9,,52,2000,,,-2.1,0,,,,
119,수원,2018-01-03 00:00,-3.5,0,,,3.3,0,320,0,40,0,1.9,-15.1,1026.2,0,1030.6,0,,9,,9,,,9,0,Cs,,2000,,,-2.2,0,,,,
119,수원,2018-01-03 01:00,-4.1,0,,,2.6,0,340,0,42,0,1.9,-15.1,1025.9,0,1030.3,0,,9,,9,,,,5,,51,2000,,,-2.8,0,,,,
119,수원,2018-01-03 02:00,-4.6,0,,,2.9,0,340,0,42,0,1.8,-15.5,1026.6,0,1031,0,,9,,9,,,,3,,53,2000,,,-3.2,0,,,,
119,수원,2018-01-03 03:00,-5.1,0,,,2.3,0,320,0,43,0,1.8,-15.7,1027.1,0,1031.6,0,,9,,9,,,4,0,Ci,,2000,,,-3.5,0,,,,
119,수원,2018-01-03 04:00,-5.4,0,,,2.3,0,290,0,45,0,1.8,-15.4,1027.1,0,1031.6,0,,9,,9,,,7,0,Cs,,2000,,,-3.4,0,,,,
119,수원,2018-01-03 05:00,-5.8,0,,,1.6,0,320,0,47,0,1.9,-15.3,1026.9,0,1031.4,0,,9,,9,,,2,0,Ci,,1996,,,-3.6,0,,,,
119,수원,2018-01-03 06:00,-6,0,,,1.7,0,290,0,48,0,1.9,-15.2,1027.1,0,1031.6,0,,9,,9,,,1,0,Ci,,2000,,,-3.9,0,,,,
119,수원,2018-01-03 07:00,-6.4,0,,,1.7,0,320,0,50,0,1.9,-15.1,1027.2,0,1031.7,0,,9,,9,,,1,0,Ci,,1994,,,-4,0,,,,
119,수원,2018-01-03 08:00,-6.5,0,,,1.4,0,290,0,51,0,1.9,-14.9,1028,0,1032.5,0,0,0,0,0,,,1,0,Ci,,1960,,,-4.1,0,,,,
119,수원,2018-01-03 09:00,-5.3,0,,,1.4,0,340,0,45,0,1.9,-15.3,1027.9,0,1032.4,0,1,0,.2,0,,,1,0,Ci,,1415,,,-3.6,0,,,,
119,수원,2018-01-03 10:00,-2.9,0,,,2.8,0,320,0,38,0,1.9,-15.2,1028.4,0,1032.8,0,1,0,.66,0,,,0,0,,,1779,,,-2.7,0,,,,
119,수원,2018-01-03 11:00,-1.3,0,,,2.5,0,320,0,33,0,1.8,-15.5,1028.4,0,1032.8,0,1,0,1.2,0,,,3,0,Ci,,1954,,,-.3,0,,,,
119,수원,2018-01-03 12:00,-.4,0,,,1.6,0,320,0,32,0,1.9,-15.1,1027.7,0,1032.1,0,1,0,1.44,0,,,2,0,Ci,,1934,,,-.1,0,,,,
119,수원,2018-01-03 13:00,.6,0,,,2.6,0,270,0,32,0,2,-14.2,1026.7,0,1031.1,0,1,0,1.52,0,,,2,0,Ci,,1922,,,-.1,0,,,,
119,수원,2018-01-03 14:00,1.1,0,,,2.7,0,270,0,31,0,2.1,-14.1,1025.9,0,1030.2,0,1,0,1.43,0,,,0,0,,,1990,,,.3,0,,,,
119,수원,2018-01-03 15:00,.8,0,,,2.6,0,290,0,32,0,2.1,-14,1025.5,0,1029.8,0,1,0,1.19,0,,,2,0,Ci,,1961,,,-.1,0,,,,
119,수원,2018-01-03 16:00,-1.1,0,,,3.1,0,250,0,43,0,2.4,-12.1,1025.9,0,1030.3,0,1,0,.78,0,,,2,0,Ci,,2000,,,-.4,0,,,,
119,수원,2018-01-03 17:00,-2,0,,,2.5,0,250,0,47,0,2.5,-11.8,1025.9,0,1030.3,0,.9,0,.24,0,,,2,0,Ci,,2000,,,-1,0,,,,
119,수원,2018-01-03 18:00,-3.1,0,,,2.5,0,250,0,51,0,2.5,-11.8,1025.7,0,1030.1,0,.1,0,.01,0,,,0,0,,,2000,,,-1.7,0,,,,
119,수원,2018-01-03 19:00,-3.4,0,,,1.4,0,290,0,51,0,2.4,-12.1,1026.4,0,1030.8,0,,9,,9,,,,0,,,2000,,,-2.2,0,,,,
119,수원,2018-01-03 20:00,-3.5,0,,,1.7,0,290,0,51,0,2.4,-12.2,1026.4,0,1030.8,0,,9,,9,,,,0,,,2000,,,-2.6,0,,,,
119,수원,2018-01-03 21:00,-3.4,0,,,1.9,0,340,0,50,0,2.4,-12.3,1026.1,0,1030.5,0,,9,,9,,,7,0,Ci,,2000,,,-2.7,0,,,,
119,수원,2018-01-03 22:00,-3.7,0,,,2.4,0,320,0,53,0,2.5,-11.9,1026.5,0,1030.9,0,,9,,9,,,,0,,,1993,,,-2.8,0,,,,
119,수원,2018-01-03 23:00,-4.7,0,,,2.6,0,320,0,50,0,2.2,-13.5,1026.9,0,1031.3,0,,9,,9,,,,0,,,2000,,,-3.1,0,,,,
119,수원,2018-01-04 00:00,-5.4,0,,,2.5,0,290,0,54,0,2.2,-13.2,1026.8,0,1031.3,0,,9,,9,,,1,0,Ci,,2000,,,-3.4,0,,,,
119,수원,2018-01-04 01:00,-6.1,0,,,2.2,0,290,0,57,0,2.2,-13.2,1026.7,0,1031.2,0,,9,,9,,,,0,,,1993,,,-3.8,0,,,,
119,수원,2018-01-04 02:00,-6.5,0,,,2.1,0,290,0,59,0,2.2,-13.2,1026.8,0,1031.3,0,,9,,9,,,,0,,,1945,,,-4,0,,,,
119,수원,2018-01-04 03:00,-6.7,0,,,1.3,0,290,0,58,0,2.1,-13.6,1027,0,1031.5,0,,9,,9,,,2,0,Ci,,1988,,,-4,0,,,,
119,수원,2018-01-04 04:00,-6.9,0,,,.9,0,320,0,58,0,2.1,-13.7,1027,0,1031.5,0,,9,,9,,,3,0,Ci,,2000,,,-3.9,0,,,,
119,수원,2018-01-04 05:00,-7.2,0,,,1.1,0,290,0,59,0,2.1,-13.8,1026.8,0,1031.3,0,,9,,9,,,5,0,Ci,,2000,,,-4.1,0,,,,
119,수원,2018-01-04 06:00,-7.1,0,,,1.6,0,320,0,52,0,1.9,-15.3,1026.2,0,1030.7,0,,9,,9,,,1,0,Ci,,2000,,,-4.3,0,,,,
119,수원,2018-01-04 07:00,-7,0,,,1.9,0,320,0,51,0,1.8,-15.4,1025.8,0,1030.3,0,,9,,9,,,0,0,,,2000,,,-4.4,0,,,,
119,수원,2018-01-04 08:00,-7.7,0,,,.8,0,290,0,56,0,1.9,-14.9,1025.9,0,1030.4,0,0,0,0,0,,,5,0,Ci,,2000,,,-4.4,0,,,,
119,수원,2018-01-04 09:00,-5.7,0,,,1,0,320,0,49,0,2,-14.7,1025.9,0,1030.4,0,.6,0,.21,0,,,6,0,Ci,,1950,,,-3.6,0,,,,
119,수원,2018-01-04 10:00,-4.4,0,,,.8,0,250,0,47,0,2.1,-14,1026.1,0,1030.5,0,1,0,.62,0,,,7,0,Ci,,1877,,,-2.5,0,,,,
