일자|시간|구분,공급량
2019-01-01 01 A,2021.9098975451086
2019-01-01 02 A,1868.1859284665725
2019-01-01 03 A,1795.5304469336236
2019-01-01 04 A,1808.3645440943228
2019-01-01 05 A,1997.3020308118564
2019-01-01 06 A,2146.0001552900894
2019-01-01 07 A,2455.3463829261536
2019-01-01 08 A,2934.068662392325
2019-01-01 09 A,2934.068662392325
2019-01-01 10 A,2774.949409717959
2019-01-01 11 A,2714.8519187351494
2019-01-01 12 A,2450.4436873101936
2019-01-01 13 A,2380.8931442066323
2019-01-01 14 A,2220.8223892928045
2019-01-01 15 A,2102.984138575201
2019-01-01 16 A,2074.259358461438
2019-01-01 17 A,2111.2940321474607
2019-01-01 18 A,2298.933918539038
2019-01-01 19 A,2648.256301051532
2019-01-01 20 A,2709.0198301943415
2019-01-01 21 A,2702.309535395062
2019-01-01 22 A,2673.219948292421
2019-01-01 23 A,2560.4209206554106
2019-01-01 24 A,2372.9688145085806
2019-01-02 01 A,2167.3870861780256
2019-01-02 02 A,2013.6631170994897
2019-01-02 03 A,1934.5658539937417
2019-01-02 04 A,1947.3999511544412
2019-01-02 05 A,2158.1105911842083
2019-01-02 06 A,2306.8087156624415
2019-01-02 07 A,2616.1549432985057
2019-01-02 08 A,3125.066753693932
2019-01-02 09 A,3125.066753693932
2019-01-02 10 A,2965.9475010195656
2019-01-02 11 A,2867.8498099715885
2019-01-02 12 A,2603.4415785466326
2019-01-02 13 A,2533.8910354430714
2019-01-02 14 A,2389.5592806783634
2019-01-02 15 A,2271.72102996076
2019-01-02 16 A,2242.9962498469968
2019-01-02 17 A,2280.0309235330196
2019-01-02 18 A,2467.670809924597
2019-01-02 19 A,2816.993192437091
2019-01-02 20 A,2877.7567215799004
2019-01-02 21 A,2871.046426780621
2019-01-02 22 A,2841.95683967798
2019-01-02 23 A,2729.1578120409695
2019-01-02 24 A,2541.7057058941396
2019-01-03 01 A,2178.588139001654
2019-01-03 02 A,2024.8641699231182
2019-01-03 03 A,1945.7669068173702
2019-01-03 04 A,1958.6010039780697
2019-01-03 05 A,2169.311644007837
2019-01-03 06 A,2318.0097684860707
2019-01-03 07 A,2627.355996122135
2019-01-03 08 A,3141.2858157015035
2019-01-03 09 A,3141.2858157015035
2019-01-03 10 A,2982.1665630271373
2019-01-03 11 A,2879.0508627952177
2019-01-03 12 A,2614.6426313702614
2019-01-03 13 A,2545.0920882667006
2019-01-03 14 A,2400.760333501992
2019-01-03 15 A,2282.9220827843887
2019-01-03 16 A,2254.1973026706255
2019-01-03 17 A,2291.2319763566484
2019-01-03 18 A,2478.8718627482262
2019-01-03 19 A,2828.1942452607195
2019-01-03 20 A,2888.957774403529
2019-01-03 21 A,2882.24747960425
2019-01-03 22 A,2853.157892501609
2019-01-03 23 A,2740.358864864598
2019-01-03 24 A,2552.9067587177688
2019-01-04 01 A,2139.401010453555
2019-01-04 02 A,1985.6770413750191
2019-01-04 03 A,1905.39088829364
2019-01-04 04 A,1917.976247453882
2019-01-04 05 A,2217.036128209728
2019-01-04 06 A,2365.7342526879615
2019-01-04 07 A,2671.3716157579966
2019-01-04 08 A,3185.3014353373655
2019-01-04 09 A,3187.5177873135704
2019-01-04 10 A,3028.398534639204
2019-01-04 11 A,2925.282834407284
2019-01-04 12 A,2660.8746029823283
2019-01-04 13 A,2591.324059878767
2019-01-04 14 A,2447.6551081872603
2019-01-04 15 A,2329.8168574696565
2019-01-04 16 A,2301.092077355893
2019-01-04 17 A,2338.126751041916
2019-01-04 18 A,2513.382692777216
