일시,평균,평년,서울,부산,대구,광주,대전,year,month,day
2011-01-03,25600,16500,30000,23000,24000,24000,27000,2011,1,3
2011-01-04,25600,16593,30000,23000,24000,24000,27000,2011,1,4
2011-01-05,25600,16820,30000,23000,24000,24000,27000,2011,1,5
2011-01-06,26600,17063,30000,24000,26000,24000,29000,2011,1,6
2011-01-07,26800,17217,30000,25000,26000,24000,29000,2011,1,7
2011-01-10,27200,17637,32000,25000,26000,24000,29000,2011,1,10
2011-01-11,27200,17707,32000,25000,26000,24000,29000,2011,1,11
2011-01-12,29400,17813,35000,27000,28000,27000,30000,2011,1,12
2011-01-13,29400,17910,35000,27000,28000,27000,30000,2011,1,13
2011-01-14,29400,17963,35000,27000,28000,27000,30000,2011,1,14
2011-01-17,29400,18200,35000,27000,28000,27000,30000,2011,1,17
2011-01-18,29400,18253,35000,27000,28000,27000,30000,2011,1,18
2011-01-19,30600,18337,35000,28000,28000,30000,32000,2011,1,19
2011-01-20,30600,18370,35000,28000,28000,30000,32000,2011,1,20
2011-01-21,30600,18367,35000,28000,28000,30000,32000,2011,1,21
2011-01-24,30600,18440,35000,28000,28000,30000,32000,2011,1,24
2011-01-25,31000,18487,35000,28000,28000,30000,34000,2011,1,25
2011-01-26,31000,18527,35000,28000,28000,30000,34000,2011,1,26
2011-01-27,31000,18573,35000,28000,28000,30000,34000,2011,1,27
2011-01-28,30400,18540,32000,28000,28000,30000,34000,2011,1,28
2011-01-31,30000,18540,32000,28000,28000,30000,32000,2011,1,31
2011-02-01,30000,18637,32000,28000,28000,30000,32000,2011,2,1
2011-02-07,30200,18940,32000,28000,28000,30000,33000,2011,2,7
2011-02-08,30200,18900,32000,28000,28000,30000,33000,2011,2,8
2011-02-09,29800,18830,30000,28000,28000,30000,33000,2011,2,9
2011-02-10,29800,18783,30000,28000,28000,30000,33000,2011,2,10
2011-02-11,29800,18780,28000,28000,28000,30000,35000,2011,2,11
2011-02-14,29800,18687,28000,28000,28000,30000,35000,2011,2,14
2011-02-15,29800,18673,28000,28000,28000,30000,35000,2011,2,15
2011-02-16,28800,18680,28000,28000,28000,30000,30000,2011,2,16
2011-02-17,28800,18697,28000,28000,28000,30000,30000,2011,2,17
2011-02-18,28800,18737,28000,28000,28000,30000,30000,2011,2,18
2011-02-21,29200,18927,28000,28000,28000,30000,32000,2011,2,21
2011-02-22,28600,18900,27000,28000,28000,28000,32000,2011,2,22
2011-02-23,28000,18913,27000,28000,28000,28000,29000,2011,2,23
2011-02-24,28000,18980,27000,28000,28000,28000,29000,2011,2,24
2011-02-25,28000,19097,27000,28000,28000,28000,29000,2011,2,25
2011-02-28,28000,19057,27000,28000,28000,28000,29000,2011,2,28
2011-03-02,28400,19013,27000,28000,28000,28000,31000,2011,3,2
2011-03-03,28800,19013,27000,28000,28000,28000,33000,2011,3,3
2011-03-04,28800,18987,27000,28000,28000,28000,33000,2011,3,4
2011-03-07,28800,18883,27000,28000,28000,28000,33000,2011,3,7
2011-03-08,28800,18933,27000,28000,28000,28000,33000,2011,3,8
2011-03-09,28800,18947,27000,28000,28000,28000,33000,2011,3,9
2011-03-10,28800,19003,27000,28000,28000,28000,33000,2011,3,10
2011-03-11,28800,19030,27000,28000,28000,28000,33000,2011,3,11
2011-03-14,28400,19097,27000,28000,28000,28000,31000,2011,3,14
2011-03-15,28400,19163,27000,28000,28000,28000,31000,2011,3,15
2011-03-16,28400,19283,27000,28000,28000,28000,31000,2011,3,16
2011-03-17,28400,19370,27000,28000,28000,28000,31000,2011,3,17
2011-03-18,28400,19403,27000,28000,28000,28000,31000,2011,3,18
2011-03-21,28400,19780,27000,28000,28000,28000,31000,2011,3,21
2011-03-22,28400,19810,27000,28000,28000,28000,31000,2011,3,22
2011-03-23,28400,19817,27000,28000,28000,28000,31000,2011,3,23
2011-03-24,28400,19870,27000,28000,28000,28000,31000,2011,3,24
2011-03-25,28400,19933,27000,28000,28000,28000,31000,2011,3,25
2011-03-28,28800,20060,29000,28000,28000,28000,31000,2011,3,28
2011-03-29,28800,20180,29000,28000,28000,28000,31000,2011,3,29
2011-03-30,28800,20313,29000,28000,28000,28000,31000,2011,3,30
2011-03-31,28800,20483,29000,28000,28000,28000,31000,2011,3,31
2011-04-01,28800,20617,29000,28000,28000,28000,31000,2011,4,1
2011-04-04,28800,21090,29000,28000,28000,28000,31000,2011,4,4
2011-04-05,28800,21133,29000,28000,28000,28000,31000,2011,4,5
2011-04-06,30400,21133,29000,30000,30000,30000,33000,2011,4,6
2011-04-07,30400,21123,29000,30000,30000,30000,33000,2011,4,7
2011-04-08,30600,21177,29000,30000,30000,31000,33000,2011,4,8
2011-04-11,30800,21320,29000,30000,31000,31000,33000,2011,4,11
2011-04-12,30800,21400,29000,30000,31000,31000,33000,2011,4,12
2011-04-13,31200,21453,29000,30000,31000,31000,35000,2011,4,13
2011-04-14,31000,21583,29000,30000,31000,30000,35000,2011,4,14
2011-04-15,31000,21703,29000,30000,31000,30000,35000,2011,4,15
2011-04-18,31000,22177,29000,30000,31000,30000,35000,2011,4,18
2011-04-19,31000,22227,29000,30000,31000,30000,35000,2011,4,19
2011-04-20,31000,22213,29000,30000,31000,30000,35000,2011,4,20
2011-04-21,31000,22240,29000,30000,31000,30000,35000,2011,4,21
2011-04-22,31000,22373,29000,30000,31000,30000,35000,2011,4,22
2011-04-25,31000,22633,29000,30000,31000,30000,35000,2011,4,25
