조건별분석,,,,,,,,
[검색조건],,,,,,,,
,분류: 지상,,,,,,,
,요소 : 기온,,,,,,,
,검색구분 : 일,,,,,,,
,지역/지점명 : 목포,,,,,,,
,기간 : 2011 ~ 2021년 01 ~ 12월 01 ~ 31일,,,,,,,
,,,,,,,,
,,,,,,,,
"	",,,,,,,,
"		지점번호",지점명,일시,평균기온(℃),최고기온(℃),"	최고기온시각",최저기온(℃),최저기온시각일교차,
"		165",목포,2011.1.1,-3.7,-0.2,14:12,-6,8:17,5.8
"		165",목포,2011.1.2,-2.4,2,13:07,-5.7,6:11,7.7
"		165",목포,2011.1.3,-1.6,1.4,11:59,-3.8,23:19,5.2
"		165",목포,2011.1.4,-0.3,1.7,12:29,-4,0:09,5.7
"		165",목포,2011.1.5,1.3,3.1,12:05,0.2,21:50,2.9
"		165",목포,2011.1.6,-0.8,0.4,0:02,-1.8,8:55,2.2
"		165",목포,2011.1.7,-2,1.6,14:33,-4.5,8:05,6.1
"		165",목포,2011.1.8,-0.4,3.4,12:48,-5.5,7:19,8.9
"		165",목포,2011.1.9,-0.6,2.9,0:52,-3.1,23:44,6
"		165",목포,2011.1.10,-3.8,-0.2,12:15,-6.8,5:10,6.6
"		165",목포,2011.1.11,-1.8,1.4,13:43,-6.5,7:31,7.9
"		165",목포,2011.1.12,-2.2,1,0:00,-5.6,23:59,6.6
"		165",목포,2011.1.13,-2.6,1.5,16:10,-6.8,6:35,8.3
"		165",목포,2011.1.14,-0.2,4.7,15:38,-5.3,7:08,10
"		165",목포,2011.1.15,-4.4,0.2,1:25,-7.8,21:09,8
"		165",목포,2011.1.16,-5.1,-3.1,11:57,-8,5:39,4.9
"		165",목포,2011.1.17,-3.4,0.5,12:45,-6.4,7:55,6.9
"		165",목포,2011.1.18,-2.8,1.5,13:47,-5.7,7:06,7.2
"		165",목포,2011.1.19,-1.7,1.8,13:40,-3.9,23:49,5.7
"		165",목포,2011.1.20,-2.4,-0.6,5:22,-4,0:41,3.4
"		165",목포,2011.1.21,-2.4,1.2,13:59,-5.1,7:18,6.3
"		165",목포,2011.1.22,-1.7,3.6,14:20,-5.9,6:06,9.5
"		165",목포,2011.1.23,-0.2,3.4,13:27,-3.3,6:06,6.7
"		165",목포,2011.1.24,-2.1,0.3,13:16,-4,23:55,4.3
"		165",목포,2011.1.25,-3.2,1.4,14:05,-5,7:42,6.4
"		165",목포,2011.1.26,-2.6,1.4,13:12,-5.4,4:12,6.8
"		165",목포,2011.1.27,-3.2,0.5,14:26,-5.5,8:00,6
"		165",목포,2011.1.28,-3.7,-0.5,14:04,-5.9,6:22,5.4
"		165",목포,2011.1.29,-4.9,-1,12:37,-6.7,6:01,5.7
"		165",목포,2011.1.30,-4.9,-2.2,12:24,-8.3,7:43,6.1
"		165",목포,2011.1.31,-3,1.5,15:37,-7.2,6:49,8.7
"		165",목포,2011.2.1,0.7,6,16:27,-5.1,7:03,11.1
