조건별분석,,,,
[검색조건],,,,
,분류: 지상,,,
,요소 : 습도,,,
,검색구분 : 일,,,
,지역/지점명 : 목포,,,
,기간 : 2011 ~ 2021년 01 ~ 12월 01 ~ 31일,,,
,,,,
,,,,
"	",,,,
"	",,,,
"	",,,,
"	",,,,
"		",,,,
"	",,,,
"		지점번호",지점명,일시,평균습도(%rh),최저습도(%rh)
"		165",목포,2011.1.1,91.6,77
"		165",목포,2011.1.2,86.6,61
"		165",목포,2011.1.3,81.4,61
"		165",목포,2011.1.4,83.4,72
"		165",목포,2011.1.5,72.5,61
"		165",목포,2011.1.6,80,69
"		165",목포,2011.1.7,73.9,56
"		165",목포,2011.1.8,79.1,60
"		165",목포,2011.1.9,75.6,61
"		165",목포,2011.1.10,70,54
"		165",목포,2011.1.11,68.8,49
"		165",목포,2011.1.12,70.6,53
"		165",목포,2011.1.13,69.4,54
"		165",목포,2011.1.14,72.6,49
"		165",목포,2011.1.15,87.9,70
"		165",목포,2011.1.16,87.4,66
"		165",목포,2011.1.17,78.4,63
"		165",목포,2011.1.18,84.1,61
"		165",목포,2011.1.19,84.4,66
"		165",목포,2011.1.20,79.5,66
"		165",목포,2011.1.21,72.6,58
"		165",목포,2011.1.22,72.3,56
"		165",목포,2011.1.23,65.9,40
"		165",목포,2011.1.24,80,57
"		165",목포,2011.1.25,84.9,69
"		165",목포,2011.1.26,76,63
"		165",목포,2011.1.27,66.3,53
"		165",목포,2011.1.28,66,49
"		165",목포,2011.1.29,83.5,63
"		165",목포,2011.1.30,89.9,57
"		165",목포,2011.1.31,85,57
"		165",목포,2011.2.1,79.8,57
"		165",목포,2011.2.2,82.3,57
"		165",목포,2011.2.3,80.8,51
"		165",목포,2011.2.4,76.3,33
"		165",목포,2011.2.5,86.1,53
"		165",목포,2011.2.6,85.3,53
"		165",목포,2011.2.7,84.3,44
"		165",목포,2011.2.8,95.6,78
"		165",목포,2011.2.9,76.4,57
"		165",목포,2011.2.10,71.4,59
"		165",목포,2011.2.11,68,57
"		165",목포,2011.2.12,80.9,61
"		165",목포,2011.2.13,72.3,52
"		165",목포,2011.2.14,74.9,60
"		165",목포,2011.2.15,71,52
"		165",목포,2011.2.16,86.3,61
"		165",목포,2011.2.17,90.4,77
"		165",목포,2011.2.18,81.9,57
"		165",목포,2011.2.19,78.4,44
"		165",목포,2011.2.20,72.6,45
"		165",목포,2011.2.21,76,46
"		165",목포,2011.2.22,78.8,46
"		165",목포,2011.2.23,74.8,51
"		165",목포,2011.2.24,81.5,40
"		165",목포,2011.2.25,80.1,55
"		165",목포,2011.2.26,64.4,45
"		165",목포,2011.2.27,99,85
"		165",목포,2011.2.28,99,99
"		165",목포,2011.3.1,87,73
"		165",목포,2011.3.2,64.6,45
"		165",목포,2011.3.3,68.8,54
"		165",목포,2011.3.4,63.4,46
"		165",목포,2011.3.5,69.5,39
"		165",목포,2011.3.6,74.1,51
"		165",목포,2011.3.7,65.4,41
"		165",목포,2011.3.8,67.1,40
"		165",목포,2011.3.9,59.5,37
"		165",목포,2011.3.10,66.4,41
"		165",목포,2011.3.11,73.8,31
"		165",목포,2011.3.12,66.4,28
"		165",목포,2011.3.13,80.8,58
"		165",목포,2011.3.14,91.8,70
"		165",목포,2011.3.15,63.8,42
"		165",목포,2011.3.16,63,45
"		165",목포,2011.3.17,57.9,37
"		165",목포,2011.3.18,59.8,28
"		165",목포,2011.3.19,83.1,61
"		165",목포,2011.3.20,95.1,78
"		165",목포,2011.3.21,80.5,63
"		165",목포,2011.3.22,57.3,40
"		165",목포,2011.3.23,58.8,38
"		165",목포,2011.3.24,69.8,46
"		165",목포,2011.3.25,57.1,42
"		165",목포,2011.3.26,57.3,36
"		165",목포,2011.3.27,56.9,27
"		165",목포,2011.3.28,69.5,32
"		165",목포,2011.3.29,72.9,29
"		165",목포,2011.3.30,82.3,47
"		165",목포,2011.3.31,80.3,39
"		165",목포,2011.4.1,57,17
"		165",목포,2011.4.2,73.6,40
"		165",목포,2011.4.3,96.1,72
"		165",목포,2011.4.4,78.1,42
"		165",목포,2011.4.5,68.3,28
"		165",목포,2011.4.6,70.9,45
"		165",목포,2011.4.7,99,99
"		165",목포,2011.4.8,94,72
"		165",목포,2011.4.9,87.3,48
"		165",목포,2011.4.10,70.1,25
"		165",목포,2011.4.11,72,27
"		165",목포,2011.4.12,71.3,24
"		165",목포,2011.4.13,67.4,34
"		165",목포,2011.4.14,71.1,46
"		165",목포,2011.4.15,92.4,67
"		165",목포,2011.4.16,67.3,44
"		165",목포,2011.4.17,73.9,41
"		165",목포,2011.4.18,79.4,59
"		165",목포,2011.4.19,76.4,36
"		165",목포,2011.4.20,67.4,35
"		165",목포,2011.4.21,59.5,29
"		165",목포,2011.4.22,98.9,79
"		165",목포,2011.4.23,80.3,49
"		165",목포,2011.4.24,78.5,51
"		165",목포,2011.4.25,64.3,36
"		165",목포,2011.4.26,95.1,64
"		165",목포,2011.4.27,88.4,64
"		165",목포,2011.4.28,73.3,40
"		165",목포,2011.4.29,64.1,32
"		165",목포,2011.4.30,83.4,58
"		165",목포,2011.5.1,79.5,43
"		165",목포,2011.5.2,73.9,51
"		165",목포,2011.5.3,79.9,46
"		165",목포,2011.5.4,69.8,40
"		165",목포,2011.5.5,59.9,33
"		165",목포,2011.5.6,82.1,67
"		165",목포,2011.5.7,92.9,72
"		165",목포,2011.5.8,89.5,71
"		165",목포,2011.5.9,98.1,94
"		165",목포,2011.5.10,99,99
"		165",목포,2011.5.11,99,99
"		165",목포,2011.5.12,88.6,54
"		165",목포,2011.5.13,68.5,49
"		165",목포,2011.5.14,67.5,49
"		165",목포,2011.5.15,68.9,42
"		165",목포,2011.5.16,87.5,69
"		165",목포,2011.5.17,81.3,39
"		165",목포,2011.5.18,81,61
"		165",목포,2011.5.19,76.5,59
"		165",목포,2011.5.20,85.9,67
"		165",목포,2011.5.21,95.8,76
"		165",목포,2011.5.22,80.4,48
"		165",목포,2011.5.23,92.4,71
"		165",목포,2011.5.24,73.9,34
"		165",목포,2011.5.25,69.1,48
"		165",목포,2011.5.26,86.6,73
"		165",목포,2011.5.27,81.9,62
"		165",목포,2011.5.28,83.4,62
"		165",목포,2011.5.29,72.9,49
"		165",목포,2011.5.30,67.9,32
"		165",목포,2011.5.31,86.9,73
"		165",목포,2011.6.1,89.1,71
"		165",목포,2011.6.2,87,52
"		165",목포,2011.6.3,83.8,57
"		165",목포,2011.6.4,82.8,65
"		165",목포,2011.6.5,85.3,60
"		165",목포,2011.6.6,80.9,55
"		165",목포,2011.6.7,76.9,49
"		165",목포,2011.6.8,78,51
"		165",목포,2011.6.9,95,87
"		165",목포,2011.6.10,94.6,61
"		165",목포,2011.6.11,90.4,73
"		165",목포,2011.6.12,89.6,66
"		165",목포,2011.6.13,89.4,72
"		165",목포,2011.6.14,88,69
"		165",목포,2011.6.15,79.4,62
"		165",목포,2011.6.16,75.3,54
"		165",목포,2011.6.17,80.8,61
"		165",목포,2011.6.18,84.5,65
"		165",목포,2011.6.19,84.8,64
"		165",목포,2011.6.20,87,64
"		165",목포,2011.6.21,80.1,50
"		165",목포,2011.6.22,97.8,95
"		165",목포,2011.6.23,93.4,85
"		165",목포,2011.6.24,97.5,91
"		165",목포,2011.6.25,95.8,84
"		165",목포,2011.6.26,90.6,85
"		165",목포,2011.6.27,86.5,65
"		165",목포,2011.6.28,94.9,77
"		165",목포,2011.6.29,90,76
"		165",목포,2011.6.30,97.6,89
"		165",목포,2011.7.1,98.1,92
"		165",목포,2011.7.2,93,78
"		165",목포,2011.7.3,94,80
"		165",목포,2011.7.4,94.3,76
"		165",목포,2011.7.5,83.5,63
"		165",목포,2011.7.6,97,84
"		165",목포,2011.7.7,94.4,85
"		165",목포,2011.7.8,93.4,80
"		165",목포,2011.7.9,98.8,95
"		165",목포,2011.7.10,94.6,82
"		165",목포,2011.7.11,90.6,70
"		165",목포,2011.7.12,93,82
"		165",목포,2011.7.13,90.6,79
"		165",목포,2011.7.14,91.9,78
"		165",목포,2011.7.15,87,72
"		165",목포,2011.7.16,84.4,62
"		165",목포,2011.7.17,84,59
"		165",목포,2011.7.18,79.5,56
"		165",목포,2011.7.19,76.9,57
"		165",목포,2011.7.20,71.5,57
"		165",목포,2011.7.21,85.9,72
"		165",목포,2011.7.22,82.3,53
"		165",목포,2011.7.23,85.4,67
"		165",목포,2011.7.24,83.5,62
"		165",목포,2011.7.25,76.5,55
"		165",목포,2011.7.26,86.5,73
"		165",목포,2011.7.27,83,69
