곡 제목,아티스트,좋아요,앨범
STAY,"The Kid LAROI, Justin Bieber",135839,Stay
신호등,이무진,206772,신호등
Next Level,aespa,202410,Next Level
OHAYO MY NIGHT,"디핵 (D-Hack), PATEKO (파테코)",124331,OHAYO MY NIGHT
바라만 본다,MSG워너비(M.O.M),153682,MSG워너비 1집
Weekend,태연 (TAEYEON),132894,Weekend
낙하 (with 아이유),AKMU (악뮤),117556,NEXT EPISODE
Permission to Dance,방탄소년단,171642,Butter / Permission to Dance
가을 타나 봐,이무진,19538,가을 타나 봐 (REVIBE Vol.4)
Queendom,Red Velvet (레드벨벳),87487,Queendom - The 6th Mini Album
Butter,방탄소년단,242037,Butter
DUMB DUMB,전소미,66004,DUMB DUMB
좋아좋아,조정석,66491,슬기로운 의사생활 시즌2 OST Part 5
Peaches (Feat. Daniel Caesar & Giveon),Justin Bieber,197300,Justice
Bad Habits,Ed Sheeran,66174,Shivers
헤픈 우연,헤이즈 (Heize),150282,HAPPEN
시간을 거슬러 (낮에 뜨는 달 X 케이윌),케이윌,30690,시간을 거슬러 (낮에 뜨는 달 X 케이윌)
다정히 내 이름을 부르면,"경서예지, 전건호",50273,다정히 내 이름을 부르면 (경서예지 x 전건호)
Dynamite,방탄소년단,422746,Dynamite (DayTime Version)
이제 나만 믿어요,임영웅,135137,내일은 미스터트롯 우승자 특전곡
비와 당신,이무진,83734,슬기로운 의사생활 시즌2 OST Part 1
Dun Dun Dance,오마이걸 (OH MY GIRL),141715,Dear OHMYGIRL
롤린 (Rollin'),브레이브걸스,287787,Rollin'
라일락,아이유,215449,IU 5th Album 'LILAC'
ASAP,STAYC(스테이씨),125129,STAYDOM
Celebrity,아이유,298919,IU 5th Album 'LILAC'
비가 오는 날엔 (2021),헤이즈 (Heize),43991,비가 오는 날엔 (2021)
색안경 (STEREOTYPE),STAYC(스테이씨),37798,STEREOTYPE
고백,멜로망스,23477,세 번째 '고백'
산책,백예린 (Yerin Baek),32659,선물
"사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)",호미들,110038,사이렌 Remix
별빛 같은 나의 사랑아,임영웅,61365,별빛 같은 나의 사랑아
빨간 립스틱 (Feat. 윤미래),이하이,12367,4 ONLY
하루만 더,빅마마,46123,하루만 더
Savage Love (Laxed - Siren Beat) (BTS Remix),"Jawsh 685, Jason Derulo, 방탄소년단",185501,Savage Love (Laxed - Siren Beat) [BTS Remix]
그대라는 사치,임영웅,23462,사랑의 콜센타 PART62
HERO,임영웅,61695,HERO
밝게 빛나는 별이 되어 비춰줄게,송이한,94833,밝게 빛나는 별이 되어 비춰줄게
치맛바람 (Chi Mat Ba Ram),브레이브걸스,92290,Summer Queen
Off My Face,Justin Bieber,75274,Justice
안녕 (Hello),조이 (JOY),108828,안녕 (Hello) - Special Album
Alcohol-Free,TWICE (트와이스),74774,Taste of Love
작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단,428416,MAP OF THE SOUL : PERSONA
내 손을 잡아,아이유,167760,최고의 사랑 OST Part.4
가을 우체국 앞에서,김대명,41475,슬기로운 의사생활 시즌2 OST Part 2
다시 사랑한다면 (김필 Ver.),임영웅,27840,사랑의 콜센타 PART56
Lovesick Girls,BLACKPINK,201864,THE ALBUM
운전만해 (We Ride),브레이브걸스,129422,We Ride
밤하늘의 별을(2020),경서,163646,밤하늘의 별을(2020)
멜로디,ASH ISLAND,107079,멜로디
봄날,방탄소년단,548101,YOU NEVER WALK ALONE
끝사랑,임영웅,23567,사랑의 콜센타 PART61
"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),360689,항해
Bk Love,임영웅,23862,뽕숭아학당 PART23
추억은 만남보다 이별에 남아,정동하,59887,추억은 만남보다 이별에 남아
Timeless,SG 워너비,103174,Sg Wanna Be+
상상더하기,라붐 (LABOUM),123565,Fresh Adventure
잊었니,임영웅,22848,사랑의 콜센타 PART60
여전히 아름다운지,세븐틴,42025,슬기로운 의사생활 시즌2 OST Part 8
Life Goes On,방탄소년단,226025,BE
아로하,조정석,227357,슬기로운 의사생활 OST Part 3
Blueming,아이유,317273,Love poem
나를 아는 사람,MSG워너비(정상동기),69104,MSG워너비 1집
잠이 오질 않네요,장범준,147654,잠이 오질 않네요
어푸 (Ah puh),아이유,100332,IU 5th Album 'LILAC'
취기를 빌려 (취향저격 그녀 X 산들),산들,200017,취기를 빌려 (취향저격 그녀 X 산들)
에잇(Prod.&Feat. SUGA of BTS),아이유,366605,에잇
"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,375368,'키스 먼저 할까요?' OST Part.3
2002,Anne-Marie,368518,Speak Your Mind (Deluxe)
그날에 나는 맘이 편했을까,이예준,63663,그날에 나는 맘이 편했을까
비 오는 날 듣기 좋은 노래 (Feat. Colde),에픽하이 (EPIK HIGH),59564,비 오는 날 듣기 좋은 노래
Dolphin,오마이걸 (OH MY GIRL),191371,NONSTOP
